#,Заказной код,Размер,Материал,Параметр:Материал:Материал,Параметр:Размер:Подсоединение,Параметр:Размер:Ду,Параметр:Размер:Cv,Параметр:Размер:Давление,Параметр:Размер:Температура
,BV,H-3M-PK,-,S316,Hy-lok 3 mm,Ø 5 mm,0.84,206 бар,до 232°C
,,H-6M-PK,BRAS,BRAS,Hy-Lok 6 mm,Ø 5 mm,4.2,206 бар,до 232°C
,,H-8M-PK,,,Hy-Lok 8 mm,Ø 5 mm,4.2 ,206 бар,до 232°C
,,H-10M-PK,,,Hy-Lok 10 mm,"Ø 7,5 mm",4.2 ,206 бар,до 232°C
,,H-12M-PK,,,Hy-Lok 12 mm,Ø 9 mm,4.2,206 бар,до 232°C
,,H-14M-PK,,,Hy-Lok 14 mm,Ø 9 mm,4.2,206 бар,до 232°C
,,H-15M-PK,,,Hy-Lok 15 mm,Ø 9 mm,8,206 бар,до 232°C
,,H-16M-PK,,,Hy-Lok 16 mm,Ø 12.5 mm,8,206 бар,до 232°C
,,H-18M-PK,,,Hy-Lok 18 mm,Ø 12.5 mm,8,206 бар,до 232°C
,,H-20M-PK,,,Hy-Lok 20 mm,Ø 12.5 mm,8,206 бар,до 232°C
,,H-22M-PK,,,Hy-Lok 22 mm,Ø 12.5 mm,8,206 бар,до 232°C
,,H-25M-PK,,,Hy-Lok 25 mm,Ø 16 mm,25,206 бар,до 232°C
,,H-4T-PK,,,"Hy-Lok 1/4""",Ø 5 mm,0.84,206 бар,до 232°C
,,H-6T-PK,,,"Hy-Lok 3/8""",Ø 7.5 mm,4.2,206 бар,до 232°C
,,H-8T-PK,,,"Hy-Lok 1/2""",Ø 9 mm,4.2,206 бар,до 232°C
,,H-12T-PK,,,"Hy-Lok 3/4""",Ø 12.5 mm,4.2,206 бар,до 232°C
,,H-16T-PK,,,"Hy-Lok 1""",Ø 16 mm,8,206 бар,до 232°C
,,F-4N-PK,,,"NPT 1/4""",Ø 5 mm,0.84,206 бар,до 232°C
,,F-6N-PK,,,"NPT 3/8""",Ø 7.5 mm,4.2,206 бар,до 232°C
,,F-8N-PK,,,"NPT 1/2""",Ø 9 mm,4.2,206 бар,до 232°C
,,F-12N-PK,,,"NPT 3/4""",Ø 12.5 mm,4.2,206 бар,до 232°C
,,F-16N-PK,,,"NPT 1""",Ø 16 mm,8,206 бар,до 232°C
,,F-4R-PK,,,"RT 1/4""",Ø 5 mm,0.84,206 бар,до 232°C
,,F-8R-PK,,,"RT 1/2""",Ø 9 mm,0.84,206 бар,до 232°C
,,F-12R-PK,,,"RT 3/4""",Ø 12.5 mm,4.2,206 бар,до 232°C
,,F-16R-PK,,,"RT 1""",Ø 16 mm,8,206 бар,до 232°C
,,F-4G-PK,,,"G 1/4""",Ø 5 mm,0.84,206 бар,до 232°C
,,F-6G-PK,,,"G 3/8""",Ø 5 mm,0.84,206 бар,до 232°C
,,F-8G-PK,,,"G 1/2""",Ø 9 mm,4.2,206 бар,до 232°C
,,F-12G-PK,,,"G 3/4""",Ø 12.5 mm,4.2,206 бар,до 232°C
,,F-16G-PK,,,"G 1""",Ø 16 mm,8,206 бар,до 232°C
