#,Заказной код,Параметр:Заказной код:Вход/Выход,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CNG1B3-F-4N,"NPT 1/4""","1,04","6,2",-40°C,121°C
,CNG2B3-F-8N,"NPT 1/2""","2,3","9,2",-40°C,121°C
