#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление
,VNG2-MRF-20M,M20x1.5,M20x1.5 вращающаяся,414 бар
,VNG2-MRF-20M-D4N,M20x1.5,M20x1.5 вращающаяся,414 бар
,VNG2-MRF-20M-D4N-G,M20x1.5,M20x1.5 вращающаяся,414 бар
,VNG2-MRF-8G,"G1/2""","G1/2"" вращающаяся",414 бар
,VNG2-MRF-8G-D4N,"G1/2""","G1/2"" вращающаяся",414 бар
,VNG2-MRF-8N-20M-D4N,"NPT 1/2""",M20x1.5 вращающаяся,414 бар
,VNG2-MRF-8G-D4N-G,"G1/2""","G1/2"" вращающаяся",414 бар
,VNG2-MF-8N-D4N,"NPT 1/2"" наруж.","NPT 1/2"" внутр.",414 бар
,VNG2-AF-12M-8N-D4N,Lok 12mm,"NPT 1/2"" внутр.",414 бар
,VNG2-AF-14M-8N-D4N,Lok 14mm,"NPT 1/2"" внутр.",414 бар
,VNG2-ARF-12M-20M,Lok 12mm,M20x1.5 вращающаяся,414 бар
,VNG2-ARF-14M-20M,Lok 14mm,M20x1.5 вращающаяся,414 бар
,VNG2-ARF-12M-20M-WR,Lok 12mmс ниппелем под приварку 12x1.5,M20x1.5 вращающаяся,414 бар
,VNG2-ARF-14M-20M-WR,Lok 14mmс ниппелем под приварку 14x2,M20x1.5 вращающаяся,414 бар
