#,Заказной код,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Размер трубки O.D.,Параметр:Заказной код:Уплотнение,,
,CV15BS02,793 бар,"1/8""",Шар,,
,CV15BS04,793 бар,"1/4""",Шар,,
,CV15BS06,793 бар,"3/8""",Шар,,
,CV15OS02,793 бар,"1/8""",O-ring,,
,CV15OS04,793 бар,"1/4""",O-ring,,
,CV15OS06,793 бар,"3/8""",O-ring,,
,CV20BS04,1379 бар,"1/4""",Шар,,
,CV20BS06,1379 бар,"3/8""",Шар,,
,CV20BS09,1379 бар,"9/16""",Шар,,
,CV20BS12,1379 бар,"3/4""",Шар,,
,CV20BS16,1379 бар,"1""",Шар,,
,CV20OS04,1379 бар,"1/4""",O-ring,,
,CV20OS06,1379 бар,"3/8""",O-ring,,
,CV20OS09,1379 бар,"9/16""",O-ring,,
,CV20OS16,1379 бар,"3/4""",O-ring,,
,CV20OS16,1379 бар,"1""",O-ring,,
,CV30OS02,2068 бар,"1/8""",O-ring,,
,CV30OS16,2068 бар,"1""",O-ring,,
,CV60BS04,4137 бар,"1/4""",Шар,,
,CV60BS06,4137 бар,"3/8""",Шар,,
,CV60BS09,4137 бар,"9/16""",Шар,,
,CV60OS04,4137 бар,"1/4""",O-ring,,
,CV60OS06,4137 бар,"3/8""",O-ring,,
,CV60OS09,4137 бар,"9/16""",O-ring,,
