#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,NV1-H-3M,Hy-Lok 3mm,414 бар,"0,09",2,Hy-Lok 3mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV2-H-6M,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV2-H-8M,Hy-Lok 8mm,414 бар,"0,37","4,3",Hy-Lok 8mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV3-H-10M,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV3-H-12M,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-12M,Hy-Lok 12mm,414 бар,"1,8","9,5",Hy-Lok 12mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-14M,Hy-Lok 14mm,414 бар,"1,8","9,5",Hy-Lok 14mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-16M,Hy-Lok 16mm,414 бар,"1,8","9,5",Hy-Lok 16mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-18M,Hy-Lok 18mm,414 бар,"1,8","9,5",Hy-Lok 18mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-20M,Hy-Lok 20mm,414 бар,"1,8","9,5",Hy-Lok 20mm,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV1-H-2T,Hy-Lok 1/8,414 бар,"0,09",2,Hy-Lok 1/8,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV2-H-4T,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV3-H-6T,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV3-H-8T,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-8T,Hy-Lok 1/2,414 бар,"1,8","9,5",Hy-Lok 1/2,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-10T,Hy-Lok 5/8,414 бар,"1,8","9,5",Hy-Lok 5/8,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-H-12T,Hy-Lok 3/4,414 бар,"1,8","9,5",Hy-Lok 3/4,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV1-F-2N,NPT 1/8,414 бар,"0,09",2,NPT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV1-F-2R,RT 1/8,414 бар,"0,09",2,RT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV2-F-2N,NPT 1/8,414 бар,"0,37","4,3",NPT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV2-F-2R,RT 1/8,414 бар,"0,37","4,3",RT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV3-F-4N,NPT 1/4,414 бар,"0,73","6,3",NPT 1/4 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV3-F-4R,RT 1/4,414 бар,"0,73","6,3",RT 1/4 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-F-6N,NPT 3/8,414 бар,"1,8","9,5",NPT 3/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-F-6R,RT 3/8,414 бар,"1,8","9,5",RT 3/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-F-8N,NPT 1/2,414 бар,"1,8","9,5",NPT 1/2 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV4-F-8R,RT 1/2,414 бар,"1,8","9,5",RT 1/2 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,NV2-F-2G,G 1/8,414 бар,"0,37","4,3",G 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/NV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
