#,Заказной код,Параметр:Заказной код:Седло,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение
,N3L-0-1A-A,латунь,"0,2-2 бар","NPT 1/2"""
,N3L-0-1A-B,латунь,"0,2-2 бар","NPT 3/4"""
,N3L-0-1A-C,латунь,"0,2-2 бар","NPT 1"""
,N3L-0-1A-D,латунь,"0,2-2 бар","NPT 1-1/4"""
,N3L-0-1A-E,латунь,"0,2-2 бар","NPT 1-1/2"""
,N3L-0-1A-F,латунь,"0,2-2 бар","NPT 2"""
,N3L-0-1B-A,латунь,2-10 бар,"NPT 1/2"""
,N3L-0-1B-B,латунь,2-10 бар,"NPT 3/4"""
,N3L-0-1B-C,латунь,2-10 бар,"NPT 1"""
,N3L-0-1B-D,латунь,2-10 бар,"NPT 1-1/4"""
,N3L-0-1B-E,латунь,2-10 бар,"NPT 1-1/2"""
,N3L-0-1B-F,латунь,2-10 бар,"NPT 2"""
,N3L-P-2-A,PTFE,7-10 бар,"NPT 1/2"""
,N3L-P-2-B,PTFE,7-10 бар,"NPT 3/4"""
,N3L-P-2-C,PTFE,7-10 бар,"NPT 1"""
,N3L-P-2-D,PTFE,7-10 бар,"NPT 1-1/4"""
,N3L-P-2-E,PTFE,7-10 бар,"NPT 1-1/2"""
,N3L-P-2-F,PTFE,7-10 бар,"NPT 2"""
