#,Заказной код,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Резьба,Параметр:Заказной код:Давление минимальное,Параметр:Заказной код:Давление максимальное
,VSAA-8-FN-1-DC24V-NC,1,0.08 ,"FNPT 1/4""",0 бар,200 бар
,VSAA-8-FN-2-DC24V-NC,2,0.15,"FNPT 1/4""",0 бар,120 бар
,"VSAA-8-FN-2,5-DC24V-NC","2,5",0.2 ,"FNPT 1/4""",0 бар,80 бар
,VSAA-8-FN-3-DC24V-NC,3,0.25,"FNPT 1/4""",0 бар,40 бар
,VSAA-8-FN-4-DC24V-NC,4,0.6 ,"FNPT 1/4""",0 бар,15 бар
,VSAA-8-FN-5-DC24V-NC,5,0.9 ,"FNPT 1/4""",0 бар,15 бар
,"VSAA-10-FN-1,5-DC24V-NC","1,5",0.08 ,"FNPT 3/8""",0 бар,200 бар
,VSAA-10-FN-2-DC24V-NC,2,0.15 ,"FNPT 3/8""",0 бар,120 бар
,"VSAA-10-FN-2,5-DC24V-NC","2,5",0.2 ,"FNPT 3/8""",0 бар,80 бар
,VSAA-10-FN-3-DC24V-NC,3,0.25 ,"FNPT 3/8""",0 бар,40 бар
,VSAA-10-FN-4-DC24V-NC,4,0.6 ,"FNPT 3/8""",0 бар,15 бар
,VSAA-10-FN-5-DC24V-NC,5,0.9,"FNPT 3/8""",0 бар,15 бар
