#,Заказной код,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Дополнительные опции,Параметр:Заказной код:К процессу,Параметр:Заказной код:К прибору,Параметр:Заказной код:Дренаж,,,
,M2V1FTV8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2V1FTV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2V1FTV8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2VDMGV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2VDMTV8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2VDMTV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2VDMTV8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M2VTB8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VTBF8N-P,PTFE,заглушка,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VTBF8N-P-OS,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VTV-8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VTV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VTV8N-P-OS,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VTV8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/2""",,,
,M2VVGV8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVGV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVGV8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVGV8N-SOG,PTFE,для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVTV8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVTV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVTV8N-P-OS,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVTV8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VVTV-8N-SOG,PTFE,для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2V2DMTV,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M2VHVTD-8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M5V1FTV-8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M5VTV-8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
