#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Конфигурация,Параметр:Заказной код:Игла
,NV60VS04-O,"O.D. 1/4""",3-х ходовой (1-й тип),Стандартная
,NV60VS06-O,"O.D. 3/8""",3-х ходовой (1-й тип),Стандартная
,NV60VS09-O,"O.D. 9/16""",3-х ходовой (1-й тип),Стандартная
,NV60VS04-T,"O.D. 1/4""",3-х ходовой (2-й тип),Стандартная
,NV60VS06-T,"O.D. 3/8""",3-х ходовой (2-й тип),Стандартная
,NV60VS09-T,"O.D. 9/16""",3-х ходовой (2-й тип),Стандартная
,NV60VS04-S,"O.D. 1/4""",Прямой,Стандартная
,NV60VS06-S,"O.D. 3/8""",Прямой,Стандартная
,NV60VS09-S,"O.D. 9/16""",Прямой,Стандартная
,NV60VS04-A,"O.D. 1/4""",Угловой,Стандартная
,NV60VS06-A,"O.D. 3/8""",Угловой,Стандартная
,NV60VS09-A,"O.D. 9/16""",Угловой,Стандартная
