#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VBZY-8-FN,8мм,NPT 1/4” внутр.,140 бар
,VBZY-10-FN,10мм,NPT 3/8” внутр.,140 бар
,VBZY-15-FN,15мм,NPT 1/2” внутр.,140 бар
,VBZY-20-FN,20мм,NPT 3/4” внутр.,140 бар
,VBZY-25-FN,25мм,NPT 1” внутр.,140 бар
,VBZY-32-FN,32мм,NPT 1-1/4” внутр.,103 бара
,VBZY-40-FN,40мм,NPT 1-1/2” внутр.,103 бара
,VBZY-50-FN,50мм,NPT 2” внутр.,103 бара
,VBZY-65-FN,65мм,NPT 2 1/2” внутр.,70 бар
,VBZY-80-FN,80мм,NPT 3” внутр.,70 бар
,VBZY-100-FN,100мм,NPT 4” внутр.,70 бар
