#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VBXF-8-FG-TF,8мм,"G 1/4""",150 бар
,VBXF-10-FG-TF,10мм,"G 3/8""",150 бар
,VBXF-15-FG-TF,15мм,"G 1/2""",150 бар
,VBXF-20-FG-TF,20мм,"G 3/4""",150 бар
,VBXF-25-FG-TF,25мм,"G 1""",150 бар
,VBXF-32-FG-TF,32мм,"G 1_1/4""",150 бар
,VBXF-50-FG-TF,50мм,"G 2""",150 бар
