#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2
,DCV-01GED-06L,"BSPP 1/8""",DIN 6mm
,DCV-02GED-08L,"BSPP 1/4""",DIN 8mm
,DCV-02GED-08L-16bar,"BSPP 1/4""",DIN 8mm
,DCV-02GED-10L,"BSPP 1/4""",DIN 10mm
,DCV-03GED-12L,"BSPP 3/8""",DIN 12mm
,DCV-04GED-15L,"BSPP 1/2""",DIN 15mm
,DCV-04GED-18L,"BSPP 1/2""",DIN 18mm
,DCV-06GED-22L,"BSPP 3/4""",DIN 22mm
,DCV-08GED-28L,"BSPP 1""",DIN 28mm
,DCV-10GED-35L,"BSPP 1 1/4""",DIN 35mm
,DCV-12GED-42L,"BSPP 1 1/2""",DIN 42mm
,DCV-02GED-06S,"BSPP 1/4""",DIN 6mm
,DCV-02GED-08S,"BSPP 1/4""",DIN 8mm
,DCV-03GED-10S,"BSPP 3/8""",DIN 10mm
,DCV-03GED-12S,"BSPP 3/8""",DIN 12mm
,DCV-04GED-14S,"BSPP 1/2""",DIN 14mm
,DCV-04GED-16S,"BSPP 1/2""",DIN 16mm
,DCV-06GED-20S,"BSPP 3/4""",DIN 20mm
,DCV-08GED-25S,"BSPP 1""",DIN 25mm
,DCV-10GED-30S,"BSPP 1 1/4""",DIN 30mm
,DCV-12GED-38S,"BSPP 1 1/2""",DIN 38mm
