#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,
,BVD-T-6L,DIN L6mm,4мм,315бар,-23°C,100°C,
,BVD-T-8L,DIN L8mm,6мм,315бар,-23°C,100°C,
,BVD-T-10L,DIN L10mm,6мм,315бар,-23°C,100°C,
,BVD-T-12L,DIN L12mm,10мм,315бар,-23°C,100°C,
,BVD-T-15L,DIN L15mm,13мм,315бар,-23°C,100°C,
,BVD-T-18L,DIN L18mm,13мм,315бар,-23°C,100°C,
,BVD-T-22L,DIN L22mm,20мм,160бар,-23°C,100°C,
,BVD-T-28L,DIN L28mm,25мм,160бар,-23°C,100°C,
,BVD-T-35L-DN25,DIN L35mm,25мм,160бар,-23°C,100°C,
,BVD-T-35L-DN32,DIN L35mm,32мм,160бар,-23°C,100°C,
,BVD-T-42L-DN25,DIN L42mm,25мм,160бар,-23°C,100°C,
,BVD-T-42L-DN32,DIN L42mm,32мм,160бар,-23°C,100°C,
