#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2
,DCV06L-M10ED,M10x1,DIN 6mm
,DCV08L-M12ED,"M12x1,5",DIN 8mm
,DCV10L-M14ED,"M14x1,5",DIN 10mm
,DCV12L-M16ED,"M16x1,5",DIN 12mm
,DCV15L-M18ED,"M18x1,5",DIN 15mm
,DCV18L-M22ED,"M22x1,5",DIN 18mm
,DCV22L-M26ED,"M26x1,5",DIN 22mm
,DCV28L-M33ED,"M33x2,0",DIN 28mm
,DCV35L-M42ED,"M42x2,0",DIN 35mm
,DCV42L-M48ED,"M48x2,0",DIN 42mm
,DCV06S-M12ED,"M12x1,5",DIN 6mm
,DCV08S-M14ED,"M14x1,5",DIN 8mm
,DCV10S-M16ED,"M16x1,5",DIN 10mm
,DCV12S-M18ED,"M18x1,5",DIN 12mm
,DCV14S-M20ED,"M20x1,5",DIN 14mm
,DCV16S-M22ED,"M22x1,5",DIN 16mm
,DCV20S-M27ED,"M27x1,5",DIN 20mm
,DCV25S-M33ED,"M33x2,0",DIN 25mm
,DCV30S-M42ED,"M42x2,0",DIN 30mm
,DCV38S-M48ED,"M48x2,0",DIN 38mm
