#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,BVD-F-4N,"FNPT 1/4""",6мм,500бар,-23°C,100°C
,BVD-F-6N,"FNPT 3/8""",10мм,500бар,-23°C,100°C
,BVD-F-8N,"FNPT 1/2""",13мм,500бар,-23°C,100°C
,BVD-F-12N,"FNPT 3/4""",20мм,315бар,-23°C,100°C
,BVD-F-16N,"FNPT 1""",25мм,315бар,-23°C,100°C
,BVD-F-16N-P-E,"FNPT 1""",25мм,315бар,-23°C,100°C
,BVD-F-20N-DN25,"FNPT 1 1/4""",25мм,315бар,-23°C,100°C
,BVD-F-20N-DN32,"FNPT 1 1/4""",32мм,315бар,-23°C,100°C
,BVD-F-24N-DN25,"FNPT 1 1/2""",25мм,315бар,-23°C,100°C
,BVD-F-24N-DN38,"FNPT 1 1/2""",38мм,315бар,-23°C,100°C
,BVD-F-32N-DN38,"FNPT 2""",38мм,315бар,-23°C,100°C
