#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура,Параметр:Заказной код:Температура максимальная
,VB1SV3H-1T,"Hy-Lok 1/16""","0,1","1,3",172 бар,-54°C,149°C
,VB1SV3H-2T,"Hy-Lok 1/8""","0,2","2,4",172 бар,-54°C,149°C
,VB1SV3H-4T,"Hy-Lok 1/4""","0,5","3,2",172 бар,-54°C,149°C
,VB1SV3H-3M,Hy-Lok 3mm,"0,2","2,4",172 бар,-54°C,149°C
,VB1SV3H-6M,Hy-Lok 6mm,"0,5","3,2",172 бар,-54°C,149°C
,VB2SV3H-4T,"Hy-Lok 1/4""","1,2","4,8",172 бар,-54°C,149°C
,VB2SV3H-6M,Hy-Lok 6mm,"1,2","4,8",172 бар,-54°C,149°C
,VB2SV3H-8M,Hy-Lok 8mm,"1,2","4,8",172 бар,-54°C,149°C
