#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Пневмопривод,Параметр:Заказной код:Степень полировки
,DV-HP-VM-4,"ZCR 1/4"" наруж.",рукоятка (90°),B.A.
,DV-HP-VM-4-H,"ZCR 1/4"" наруж.",рукоятка (90°),с электрополировкой
,DV-HP-VF-4-H,"ZCR 1/4"" внутр.",рукоятка (90°),с электрополировкой
,DV-HP-VM-4-PC,"ZCR 1/4"" наруж.",пневмопривод(нормально закрытый),B.A.
