#,Серия,Параметр:Серия:Серия,Условное обозначение:Серия:Серия,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Размер подсоединения 1,Параметр:Размер подсоединения 1:Размер подсоединения 1,Размер подсоединения 2,Параметр:Размер подсоединения 2:Размер подсоединения 2,Сбросной клапан,Параметр:Сбросной клапан:Сбросной клапан,Материал,Параметр:Материал:Материал
,P1V,P1V,Ду 4.4 мм,H,Трубный фитинг Hy-Lok,4N,NPT 1/4,4N,NPT 1/4,-,Клапан отсутствует,-,Нержавеющая сталь S316 (по умолчанию)
,P2V,P2V,Ду 7.2 мм,M,Внешняя резьба,6N,NPT 3/8,6N,NPT 3/8,DV,Сброс снизу,BRAS,Латунь
,,,,F,Внутренняя резьба,8N,NPT 1/2,8N,NPT 1/2,,,,
,,,,MH,Наружная резьба и трубный фитинг Hy-Lok,4R,RT (BSPT) 1/4,4R,RT (BSPT) 1/4,,,,
,,,,MF,Внутренняя и наружная резьба,6R,RT (BSPT) 3/8,6R,RT (BSPT) 3/8,,,,
,,,,,,8R,RT (BSPT) 1/2,8R,RT (BSPT) 1/2,,,,
,,,,,,4G,G (BSPP) 1/4,4G,G (BSPP) 1/4,,,,
,,,,,,6G,G (BSPP) 3/8,6G,G (BSPP) 3/8,,,,
,,,,,,8G,G (BSPP) 1/2,8G,G (BSPP) 1/2,,,,
,,,,,,6M,Hy-Lok 6mm,6M,Hy-Lok 6mm,,,,
,,,,,,8M,Hy-Lok 8mm,8M,Hy-Lok 8mm,,,,
,,,,,,10M,Hy-Lok 10mm,10M,Hy-Lok 10mm,,,,
,,,,,,12M,Hy-Lok 12mm,12M,Hy-Lok 12mm,,,,
,,,,,,14M,Hy-Lok 14mm,14M,Hy-Lok 14mm,,,,
,,,,,,4T,Hy-Lok 1/4,4T,Hy-Lok 1/4,,,,
,,,,,,5T,Hy-Lok 5/16,5T,Hy-Lok 5/16,,,,
,,,,,,6T,Hy-Lok 3/8,6T,Hy-Lok 3/8,,,,
,,,,,,8T,Hy-Lok 1/2,8T,Hy-Lok 1/2,,,,
,,,,,,10T,Hy-Lok 5/8,10T,Hy-Lok 5/8,,,,
