#,Заказной код,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение
,VNXB-10-FR,10мм,"RT 3/8"""
,VNXB-15-FR,15мм,"RT 1/2"""
,VNXB-20-FR,20мм,"RT 3/4"""
,VNXB-25-FR,25мм,"RT 1"""
,VNXB-32-FR,32мм,"RT 1 1/4"""
,VNXB-40-FR,40мм,"RT 1 1/2"""
,VNXB-50-FR,50мм,"RT 2"""
,VNXB-60-FR,65мм,"RT 2 1/2"""
,VNXB-80-FR,80мм,"RT 3"""
