#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VBXF-8-FN-150bar,8мм,"NPT 1/4""",150 бар
,VBXF-10-FN-150bar,10мм,"NPT 3/8""",150 бар
,VBXF-15-FN-150bar,15мм,"NPT 1/2""",150 бар
,VBXF-20-FN-150bar,20мм,"NPT 3/4""",150 бар
,VBXF-25-FN-150bar,25мм,"NPT 1""",150 бар
,VBXF-32-FN-100bar,32мм,"NPT 1 1/4""",100 бар
,VBXF-40-FN-100bar,40мм,"NPT 1 1/2""",100 бар
,VBXF-50-FN-100bar,50мм,"NPT 2""",100 бар
,VBXF-60-FN-63bar,60мм,"NPT 2 1/2""",63 бар
,VBXF-80-FN-63bar,80мм,"NPT 3""",63 бар
,VBXF-100-FN-63bar,100мм,"NPT 4""",63 бар
