#,Заказной код,Параметр:Заказной код:Давление срабатывания,Параметр:Заказной код:Вход,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление срабатывания
,RV1-MH-8N12M-EP,"0,6..17,2бар",NPT 1/2,Этиленпропилен,"20,7 бар",-46°,149°C,Hy-Lok 12mm,"0,6..17,2бар (RV1)"
,RV1-MF-4N-EP,"0,6..17,2бар",NPT 1/4,Этиленпропилен,"20,7 бар",-46°,149°C,NPT 1/4,"0,6..17,2бар (RV1)"
,RV1-MF-6N-EP,"0,6..17,2бар",NPT 3/8,Этиленпропилен,"20,7 бар",-46°,149°C,NPT 3/8,"0,6..17,2бар (RV1)"
,RV1-MF-8N-EP,"0,6..17,2бар",NPT 1/2,Этиленпропилен,"20,7 бар",-46°,149°C,NPT 1/2,"0,6..17,2бар (RV1)"
,RV1-H-6M-KA,"0,6..17,2бар",Hy-Lok 6mm,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 6mm,"0,6..17,2бар (RV1)"
,RV1-H-8M-KA,"0,6..17,2бар",Hy-Lok 8mm,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 8mm,"0,6..17,2бар (RV1)"
,RV1-H-10M-KA,"0,6..17,2бар",Hy-Lok 10mm,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 10mm,"0,6..17,2бар (RV1)"
,RV1-H-12M-KA,"0,6..17,2бар",Hy-Lok 12mm,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 12mm,"0,6..17,2бар (RV1)"
,RV1-H-4T-KA,"0,6..17,2бар",Hy-Lok 1/4,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 1/4,"0,6..17,2бар (RV1)"
,RV1-H-8T-KA,"0,6..17,2бар",Hy-Lok 1/2,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 1/2,"0,6..17,2бар (RV1)"
,RV1-MH-8N8T-KA,"0,6..17,2бар",NPT 1/2,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 1/2,"0,6..17,2бар (RV1)"
,RV1-MH-8N12M-KA,"0,6..17,2бар",NPT 1/2,Kalrez,"20,7 бар",-23°,315°C,Hy-Lok 12mm,"0,6..17,2бар (RV1)"
,RV1-MF-4N-KA,"0,6..17,2бар",NPT 1/4,Kalrez,"20,7 бар",-23°,315°C,NPT 1/4,"0,6..17,2бар (RV1)"
,RV1-MF-6N-KA,"0,6..17,2бар",NPT 3/8,Kalrez,"20,7 бар",-23°,315°C,NPT 3/8,"0,6..17,2бар (RV1)"
,RV1-MF-8N-KA,"0,6..17,2бар",NPT 1/2,Kalrez,"20,7 бар",-23°,315°C,NPT 1/2,"0,6..17,2бар (RV1)"
,RV2-H-6M-WS,без пружины,Hy-Lok 6mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 6mm,без пружины (RV2)
,RV2-H-8M-WS,без пружины,Hy-Lok 8mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 8mm,без пружины (RV2)
,RV2-H-10M-WS,без пружины,Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,без пружины (RV2)
,RV2-H-12M-WS,без пружины,Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,без пружины (RV2)
,RV2-H-4T-WS,без пружины,Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,без пружины (RV2)
,RV2-H-8T-WS,без пружины,Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,без пружины (RV2)
,RV2-MH-8N8T-WS,без пружины,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,без пружины (RV2)
,RV2-MH-8N12M-WS,без пружины,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,без пружины (RV2)
,RV1-MF-8G,"0,6..17,2бар",G 1/2 наруж.,Viton (стандарт),"20,7 бар",-23°,204°C,G 1/2 внутр.,"0,6..17,2бар (RV1)"
,RV1-MF-8G-KA,"0,6..17,2бар",G 1/2 наруж.,Kalrez,"20,7 бар",-23°,315°C,G 1/2 внутр.,"0,6..17,2бар (RV1)"
,RV1-MF-8G-KA-PS-2bar,"0,6..17,2бар",G 1/2 наруж.,Kalrez,"20,7 бар",-23°,315°C,G 1/2 внутр.,"0,6..17,2бар (RV1)"
,RV2-MF-4N-WS,без пружины,NPT 1/4,Viton (стандарт),414 бар,-23°,204°C,NPT 1/4,без пружины (RV2)
,RV2-MF-6N-WS,без пружины,NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,без пружины (RV2)
,RV2-MF-8N-WS,без пружины,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,без пружины (RV2)
,RV2-H-6M-EP-WS,без пружины,Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,без пружины (RV2)
,RV2-H-8M-EP-WS,без пружины,Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,без пружины (RV2)
,RV2-H-10M-EP-WS,без пружины,Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,без пружины (RV2)
,RV2-H-12M-EP-WS,без пружины,Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,без пружины (RV2)
,RV2-H-4T-EP-WS,без пружины,Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,без пружины (RV2)
,RV2-H-8T-EP-WS,без пружины,Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,без пружины (RV2)
,RV2-MH-8N8T-EP-WS,без пружины,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,без пружины (RV2)
,RV2-MH-8N12M-EP-WS,без пружины,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,без пружины (RV2)
,RV2-MF-4N-EP-WS,без пружины,NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,без пружины (RV2)
,RV2-MF-6N-EP-WS,без пружины,NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,без пружины (RV2)
,RV2-MF-8N-EP-WS,без пружины,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,без пружины (RV2)
,RV2-H-6M-KA-WS,без пружины,Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,без пружины (RV2)
,RV2-H-8M-KA-WS,без пружины,Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,без пружины (RV2)
,RV2-H-10M-KA-WS,без пружины,Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,без пружины (RV2)
,RV2-H-12M-KA-WS,без пружины,Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,без пружины (RV2)
,RV2-H-4T-KA-WS,без пружины,Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,без пружины (RV2)
,RV2-H-8T-KA-WS,без пружины,Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,без пружины (RV2)
,RV2-MH-8N8T-KA-WS,без пружины,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,без пружины (RV2)
,RV2-MH-8N12M-KA-WS,без пружины,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,без пружины (RV2)
,RV2-MF-4N-KA-WS,без пружины,NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,без пружины (RV2)
,RV2-MF-6N-KA-WS,без пружины,NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,без пружины (RV2)
,RV2-MF-8N-KA-WS,без пружины,NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,без пружины (RV2)
,RV2-MF-4G-WS,без пружины,G 1/4 наруж.,Viton (стандарт),414 бар,-23°,204°C,G 1/4 внутр.,без пружины (RV2)
,RV2-MF-8G-WS ,без пружины,G 1/2 наруж.,Viton (стандарт),414 бар,-23°,204°C,G 1/2 внутр.,без пружины (RV2)
,RV2-H-8M-A,"15,5-51,5бар",Hy-Lok 8mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 8mm,"15,5-51,5бар (RV2)"
,RV2-H-10M-A,"15,5-51,5бар",Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,"15,5-51,5бар (RV2)"
,RV2-H-12M-A,"15,5-51,5бар",Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,"15,5-51,5бар (RV2)"
,RV2-H-4T-A,"15,5-51,5бар",Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,"15,5-51,5бар (RV2)"
,RV2-H-8T-A,"15,5-51,5бар",Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,"15,5-51,5бар (RV2)"
,RV2-MH-8N8T-A,"15,5-51,5бар",NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,"15,5-51,5бар (RV2)"
,RV2-MH-8N12M-A,"15,5-51,5бар",NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,"15,5-51,5бар (RV2)"
,RV2-MF-4N-A,"15,5-51,5бар",NPT 1/4,Viton (стандарт),414 бар,-23°,204°C,NPT 1/4,"15,5-51,5бар (RV2)"
,RV2-MF-6N-A,"15,5-51,5бар",NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,"15,5-51,5бар (RV2)"
,RV2-MF-8N-A,"15,5-51,5бар",NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,"15,5-51,5бар (RV2)"
,RV2-H-6M-EP-A,"15,5-51,5бар",Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,"15,5-51,5бар (RV2)"
,RV2-H-8M-EP-A,"15,5-51,5бар",Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,"15,5-51,5бар (RV2)"
,RV2-H-10M-EP-A,"15,5-51,5бар",Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,"15,5-51,5бар (RV2)"
,RV2-H-12M-EP-A,"15,5-51,5бар",Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,"15,5-51,5бар (RV2)"
,RV2-H-4T-EP-A,"15,5-51,5бар",Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,"15,5-51,5бар (RV2)"
,RV2-H-8T-EP-A,"15,5-51,5бар",Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,"15,5-51,5бар (RV2)"
,RV2-MH-8N8T-EP-A,"15,5-51,5бар",NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,"15,5-51,5бар (RV2)"
,RV2-MH-8N12M-EP-A,"15,5-51,5бар",NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,"15,5-51,5бар (RV2)"
,RV2-MF-4N-EP-A,"15,5-51,5бар",NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,"15,5-51,5бар (RV2)"
,RV2-MF-6N-EP-A,"15,5-51,5бар",NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,"15,5-51,5бар (RV2)"
,RV2-MF-8N-EP-A,"15,5-51,5бар",NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,"15,5-51,5бар (RV2)"
,RV2-H-6M-KA-A,"15,5-51,5бар",Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,"15,5-51,5бар (RV2)"
,RV2-H-8M-KA-A,"15,5-51,5бар",Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,"15,5-51,5бар (RV2)"
,RV2-H-10M-KA-A,"15,5-51,5бар",Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,"15,5-51,5бар (RV2)"
,RV2-H-12M-KA-A,"15,5-51,5бар",Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,"15,5-51,5бар (RV2)"
,RV2-H-4T-KA-A,"15,5-51,5бар",Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,"15,5-51,5бар (RV2)"
,RV2-H-8T-KA-A,"15,5-51,5бар",Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,"15,5-51,5бар (RV2)"
,RV2-MH-8N8T-KA-A,"15,5-51,5бар",NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,"15,5-51,5бар (RV2)"
,RV2-MH-8N12M-KA-A,"15,5-51,5бар",NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,"15,5-51,5бар (RV2)"
,RV2-MF-4N-KA-A,"15,5-51,5бар",NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,"15,5-51,5бар (RV2)"
,RV2-MF-6N-KA-A,"15,5-51,5бар",NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,"15,5-51,5бар (RV2)"
,RV2-MF-8N-KA-A,"15,5-51,5бар",NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,"15,5-51,5бар (RV2)"
,RV2-H-6M-B,"51,5-103бар",Hy-Lok 6mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 6mm,"51,5-103бар (RV2)"
,RV2-H-10M-B,"51,5-103бар",Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,"51,5-103бар (RV2)"
,RV2-H-12M-B,"51,5-103бар",Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,"51,5-103бар (RV2)"
,RV2-H-4T-B,"51,5-103бар",Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,"51,5-103бар (RV2)"
,RV2-H-8T-B,"51,5-103бар",Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,"51,5-103бар (RV2)"
,RV2-MH-8N8T-B,"51,5-103бар",NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,"51,5-103бар (RV2)"
