#,Заказной код,Параметр:Заказной код:Давление срабатывания,Параметр:Заказной код:Вход,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление срабатывания
,RV2-MF-8N-KA-C,103-155бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,103-155бар (RV2)
,RV2-H-6M-D,155-206бар,Hy-Lok 6mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 6mm,155-206бар (RV2)
,RV2-H-8M-D,155-206бар,Hy-Lok 8mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 8mm,155-206бар (RV2)
,RV2-H-10M-D,155-206бар,Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,155-206бар (RV2)
,RV2-H-12M-D,155-206бар,Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,155-206бар (RV2)
,RV2-H-4T-D,155-206бар,Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,155-206бар (RV2)
,RV2-H-8T-D,155-206бар,Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,155-206бар (RV2)
,RV2-MH-8N8T-D,155-206бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,155-206бар (RV2)
,RV2-MH-8N12M-D,155-206бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,155-206бар (RV2)
,RV2-MF-4N-D,155-206бар,NPT 1/4,Viton (стандарт),414 бар,-23°,204°C,NPT 1/4,155-206бар (RV2)
,RV2-MF-6N-D,155-206бар,NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,155-206бар (RV2)
,RV2-MF-8N-D,155-206бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,155-206бар (RV2)
,RV2-H-6M-EP-D,155-206бар,Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,155-206бар (RV2)
,RV2-H-8M-EP-D,155-206бар,Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,155-206бар (RV2)
,RV2-H-10M-EP-D,155-206бар,Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,155-206бар (RV2)
,RV2-H-12M-EP-D,155-206бар,Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,155-206бар (RV2)
,RV2-H-4T-EP-D,155-206бар,Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,155-206бар (RV2)
,RV2-H-8T-EP-D,155-206бар,Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,155-206бар (RV2)
,RV2-MH-8N8T-EP-D,155-206бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,155-206бар (RV2)
,RV2-MH-8N12M-EP-D,155-206бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,155-206бар (RV2)
,RV2-MF-4N-EP-D,155-206бар,NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,155-206бар (RV2)
,RV2-MF-6N-EP-D,155-206бар,NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,155-206бар (RV2)
,RV2-MF-8N-EP-D,155-206бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,155-206бар (RV2)
,RV2-H-6M-KA-D,155-206бар,Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,155-206бар (RV2)
,RV2-H-8M-KA-D,155-206бар,Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,155-206бар (RV2)
,RV2-H-10M-KA-D,155-206бар,Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,155-206бар (RV2)
,RV2-H-12M-KA-D,155-206бар,Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,155-206бар (RV2)
,RV2-H-4T-KA-D,155-206бар,Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,155-206бар (RV2)
,RV2-H-8T-KA-D,155-206бар,Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,155-206бар (RV2)
,RV2-MH-8N8T-KA-D,155-206бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,155-206бар (RV2)
,RV2-MH-8N12M-KA-D,155-206бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,155-206бар (RV2)
,RV2-MF-4N-KA-D,155-206бар,NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,155-206бар (RV2)
,RV2-MF-6N-KA-D,155-206бар,NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,155-206бар (RV2)
,RV2-MF-8N-KA-D,155-206бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,155-206бар (RV2)
,RV2-H-6M-E,206-275бар,Hy-Lok 6mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 6mm,206-275бар (RV2)
,RV2-H-8M-E,206-275бар,Hy-Lok 8mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 8mm,206-275бар (RV2)
,RV2-H-10M-E,206-275бар,Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,206-275бар (RV2)
,RV2-H-12M-E,206-275бар,Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,206-275бар (RV2)
,RV2-H-4T-E,206-275бар,Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,206-275бар (RV2)
,RV2-H-8T-E,206-275бар,Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,206-275бар (RV2)
,RV2-MH-8N8T-E,206-275бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,206-275бар (RV2)
,RV2-MH-8N12M-E,206-275бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,206-275бар (RV2)
,RV2-MF-4N-E,206-275бар,NPT 1/4,Viton (стандарт),414 бар,-23°,204°C,NPT 1/4,206-275бар (RV2)
,RV2-MF-6N-E,206-275бар,NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,206-275бар (RV2)
,RV2-MF-8N-E,206-275бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,206-275бар (RV2)
,RV2-H-6M-EP-E,206-275бар,Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,206-275бар (RV2)
,RV2-H-8M-EP-E,206-275бар,Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,206-275бар (RV2)
,RV2-H-10M-EP-E,206-275бар,Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,206-275бар (RV2)
,RV2-H-12M-EP-E,206-275бар,Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,206-275бар (RV2)
,RV2-H-4T-EP-E,206-275бар,Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,206-275бар (RV2)
,RV2-H-8T-EP-E,206-275бар,Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,206-275бар (RV2)
,RV2-MH-8N8T-EP-E,206-275бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,206-275бар (RV2)
,RV2-MH-8N12M-EP-E,206-275бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,206-275бар (RV2)
,RV2-MF-4N-EP-E,206-275бар,NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,206-275бар (RV2)
,RV2-MF-6N-EP-E,206-275бар,NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,206-275бар (RV2)
,RV2-MF-8N-EP-E,206-275бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,206-275бар (RV2)
,RV2-H-6M-KA-E,206-275бар,Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,206-275бар (RV2)
,RV2-H-8M-KA-E,206-275бар,Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,206-275бар (RV2)
,RV2-H-10M-KA-E,206-275бар,Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,206-275бар (RV2)
,RV2-H-12M-KA-E,206-275бар,Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,206-275бар (RV2)
,RV2-H-4T-KA-E,206-275бар,Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,206-275бар (RV2)
,RV2-H-8T-KA-E,206-275бар,Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,206-275бар (RV2)
,RV2-MH-8N8T-KA-E,206-275бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,206-275бар (RV2)
,RV2-MH-8N12M-KA-E,206-275бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,206-275бар (RV2)
,RV2-MF-4N-KA-E,206-275бар,NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,206-275бар (RV2)
,RV2-MF-6N-KA-E,206-275бар,NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,206-275бар (RV2)
,RV2-MF-8N-KA-E,206-275бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,206-275бар (RV2)
,RV2-H-6M-F,275-344бар,Hy-Lok 6mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 6mm,275-344бар (RV2)
,RV2-H-10M-F,275-344бар,Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,275-344бар (RV2)
,RV2-H-12M-F,275-344бар,Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,275-344бар (RV2)
,RV2-H-4T-F,275-344бар,Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,275-344бар (RV2)
,RV2-H-8T-F,275-344бар,Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,275-344бар (RV2)
,RV2-MH-8N8T-F,275-344бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,275-344бар (RV2)
,RV2-MH-8N12M-F,275-344бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,275-344бар (RV2)
,RV2-MF-4N-F,275-344бар,NPT 1/4,Viton (стандарт),414 бар,-23°,204°C,NPT 1/4,275-344бар (RV2)
,RV2-MF-6N-F,275-344бар,NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,275-344бар (RV2)
,RV2-MF-8N-F,275-344бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,275-344бар (RV2)
,RV2-H-6M-EP-F,275-344бар,Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,275-344бар (RV2)
,RV2-H-8M-EP-F,275-344бар,Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,275-344бар (RV2)
,RV2-H-10M-EP-F,275-344бар,Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,275-344бар (RV2)
,RV2-H-12M-EP-F,275-344бар,Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,275-344бар (RV2)
,RV2-H-4T-EP-F,275-344бар,Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,275-344бар (RV2)
,RV2-H-8T-EP-F,275-344бар,Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,275-344бар (RV2)
,RV2-MH-8N8T-EP-F,275-344бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,275-344бар (RV2)
,RV2-MH-8N12M-EP-F,275-344бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,275-344бар (RV2)
,RV2-MF-4N-EP-F,275-344бар,NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,275-344бар (RV2)
,RV2-MF-6N-EP-F,275-344бар,NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,275-344бар (RV2)
,RV2-MF-8N-EP-F,275-344бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,275-344бар (RV2)
,RV2-H-6M-KA-F,275-344бар,Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,275-344бар (RV2)
,RV2-H-8M-KA-F,275-344бар,Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,275-344бар (RV2)
,RV2-H-10M-KA-F,275-344бар,Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,275-344бар (RV2)
,RV2-H-12M-KA-F,275-344бар,Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,275-344бар (RV2)
,RV2-H-4T-KA-F,275-344бар,Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,275-344бар (RV2)
,RV2-H-8T-KA-F,275-344бар,Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,275-344бар (RV2)
,RV2-MH-8N8T-KA-F,275-344бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,275-344бар (RV2)
,RV2-MH-8N12M-KA-F,275-344бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,275-344бар (RV2)
,RV2-MF-4N-KA-F,275-344бар,NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,275-344бар (RV2)
,RV2-MF-6N-KA-F,275-344бар,NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,275-344бар (RV2)
,RV2-MF-8N-KA-F,275-344бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,275-344бар (RV2)
,RV2-H-8M-G,344-414бар,Hy-Lok 8mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 8mm,344-414бар (RV2)
,RV2-H-10M-G,344-414бар,Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,344-414бар (RV2)
,RV2-H-12M-G,344-414бар,Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,344-414бар (RV2)
,RV2-H-4T-G,344-414бар,Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,344-414бар (RV2)
,RV2-H-8T-G,344-414бар,Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,344-414бар (RV2)
,RV2-MH-8N8T-G,344-414бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,344-414бар (RV2)
,RV2-MH-8N12M-G,344-414бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,344-414бар (RV2)
,RV2-MF-6N-G,344-414бар,NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,344-414бар (RV2)
,RV2-MF-8N-G,344-414бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,344-414бар (RV2)
,RV2-H-6M-EP-G,344-414бар,Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,344-414бар (RV2)
,RV2-H-8M-EP-G,344-414бар,Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,344-414бар (RV2)
,RV2-H-10M-EP-G,344-414бар,Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,344-414бар (RV2)
,RV2-H-12M-EP-G,344-414бар,Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,344-414бар (RV2)
,RV2-H-4T-EP-G,344-414бар,Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,344-414бар (RV2)
,RV2-H-8T-EP-G,344-414бар,Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,344-414бар (RV2)
,RV2-MH-8N8T-EP-G,344-414бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,344-414бар (RV2)
,RV2-MH-8N12M-EP-G,344-414бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,344-414бар (RV2)
,RV2-MF-4N-EP-G,344-414бар,NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,344-414бар (RV2)
,RV2-MF-6N-EP-G,344-414бар,NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,344-414бар (RV2)
,RV2-MF-8N-EP-G,344-414бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,344-414бар (RV2)
,RV2-H-6M-KA-G,344-414бар,Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,344-414бар (RV2)
,RV2-H-8M-KA-G,344-414бар,Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,344-414бар (RV2)
,RV2-H-10M-KA-G,344-414бар,Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,344-414бар (RV2)
,RV2-H-12M-KA-G,344-414бар,Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,344-414бар (RV2)
,RV2-H-4T-KA-G,344-414бар,Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,344-414бар (RV2)
,RV2-H-8T-KA-G,344-414бар,Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,344-414бар (RV2)
,RV2-MH-8N8T-KA-G,344-414бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,344-414бар (RV2)
,RV2-MH-8N12M-KA-G,344-414бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,344-414бар (RV2)
,RV2-MF-4N-KA-G,344-414бар,NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,344-414бар (RV2)
,RV2-MF-6N-KA-G,344-414бар,NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,344-414бар (RV2)
,RV2-MF-8N-KA-G,344-414бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,344-414бар (RV2)
