#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,SV2-F-8N,NPT 1/2,414 бар,"0,73","6,3",NPT 1/2 внутр.,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-8R,RT 1/2,414 бар,"0,73","6,3",RT 1/2 внутр.,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-M-4N,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 наруж.,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-M-4R,RT 1/4,414 бар,"0,37","4,3",RT 1/4 наруж.,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-H-A-6M,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-10M,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-12M,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-H-A-4T,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-6T,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-8T,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
