#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2
,DCV06L-01GED,"BSPP 1/8""",DIN 6mm
,DCV08L-02GED,"BSPP 1/4""",DIN 8mm
,DCV10L-02GED,"BSPP 1/4""",DIN 10mm
,DCV12L-03GED,"BSPP 3/8""",DIN 12mm
,DCV15L-04GED,"BSPP 1/2""",DIN 15mm
,DCV18L-04GED,"BSPP 1/2""",DIN 18mm
,DCV22L-06GED,"BSPP 3/4""",DIN 22mm
,DCV28L-08GED,"BSPP 1""",DIN 28mm
,DCV35L-10GED,"BSPP 1 1/4""",DIN 35mm
,DCV42L-12GED,"BSPP 1 1/2""",DIN 42mm
,DCV06S-02GED,"BSPP 1/4""",DIN 6mm
,DCV08S-02GED,"BSPP 1/4""",DIN 8mm
,DCV10S-03GED,"BSPP 3/8""",DIN 10mm
,DCV12S-03GED,"BSPP 3/8""",DIN 12mm
,DCV14S-04GED,"BSPP 1/2""",DIN 14mm
,DCV16S-04GED,"BSPP 1/2""",DIN 16mm
,DCV20S-06GED,"BSPP 3/4""",DIN 20mm
,DCV25S-08GED,"BSPP 1""",DIN 25mm
,DCV30S-10GED,"BSPP 1 1/4""",DIN 30mm
,DCV38S-12GED,"BSPP 1 1/2""",DIN 38mm
