#,Заказной код,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Резьба,Параметр:Заказной код:Давление минимальное,Параметр:Заказной код:Давление максимальное
,VSCA-15-FN-DC24V-NO,15,4.8,"FNPT 1/2""",6 бар,100 бар
,VSCA-20-FN-DC24V-NO,20,"7,6","FNPT 3/4""",6 бар,100 бар
,VSCA-25-FN-DC24V-NO,25,12,"FNPT 1""",6 бар,100 бар
,VSCA-32-FN-DC24V-NO,32,20,"FNPT 1 1/4""",6 бар,80 бар
,VSCA-40-FN-DC24V-NO,40,30,"FNPT 1 1/2""",6 бар,80 бар
,VSCA-50-FN-DC24V-NO,50,48,"FNPT 2""",6 бар,80 бар
