#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Ду,Параметр:Заказной код:Материал седла,,,
,H1B-H-6M-ML-AEB-220AC/24DC,Hy-Lok 6мм,414 бар,10мм,PVDF (стандарт),,,
,H1B-H-10M-ML-AEB-220AC/24DC,Hy-Lok 10мм,414 бар,10мм,PVDF (стандарт),,,
,H1B-H-12M-ML-AEB-220AC/24DC,Hy-Lok 12мм,414 бар,10мм,PVDF (стандарт),,,
,H1B-H-14M-ML-AEB-220AC/24DC,Hy-Lok 14мм,414 бар,10мм,PVDF (стандарт),,,
,H2B-H-16M-ML-AEB-220AC/24DC,Hy-Lok 16мм,340 бар,12.7мм,PVDF (стандарт),,,
,H2B-H-18M-ML-AEB-220AC/24DC,Hy-Lok 18мм,340 бар,12.7мм,PVDF (стандарт),,,
,H3B-H-20M-ML-AEB-220AC/24DC,Hy-Lok 20мм,-,-,PVDF (стандарт),,,
,H3B-H-25M-ML-AEB-220AC/24DC,Hy-Lok 25мм,340 бар,19мм,PVDF (стандарт),,,
,H1B-F-4N-ML-AEB-220AC/24DC,"NPT 1/4"" внутр.",414 бар,10мм,PVDF (стандарт),,,
,H1B-F-8N-ML-AEB-220AC/24DC,"NPT 1/2"" внутр.",414 бар,10мм,PVDF (стандарт),,,
,HB1-H-3M-AEB-220AC/24DC,Hy-Lok 3мм,414 бар,2.2мм,PVDF (стандарт),,,
,HB1-H-6M-AEB-220AC/24DC,Hy-Lok 6мм,414 бар,4.2мм,PVDF (стандарт),,,
,HB2-H-8M-AEB-220AC/24DC,Hy-Lok 8мм,414 бар,6.4мм,PVDF (стандарт),,,
,HB2-H-10M-AEB-220AC/24DC,Hy-Lok 10мм,414 бар,6.4мм,PVDF (стандарт),,,
,HB3-H-12M-AEB-220AC/24DC,Hy-Lok 12мм,414 бар,9.5мм,PVDF (стандарт),,,
,HB3-H-16M-AEB-220AC/24DC,Hy-Lok 16мм,414 бар,10.3мм,PVDF (стандарт),,,
,HB1-M-2N-AEB-220AC/24DC,1/8” NPT,414 бар,4.2мм,PVDF (стандарт),,,
,HB1-M-4N-AEB-220AC/24DC,1/4” NPT,414 бар,4.2мм,PVDF (стандарт),,,
,HB1-F-2N-AEB-220AC/24DC,1/8” NPT внутр.,414 бар,4.2мм,PVDF (стандарт),,,
,HB2-F-4N-AEB-220AC/24DC,1/4” NPT внутр.,414 бар,6.4мм,PVDF (стандарт),,,
,HB3-F-6N-AEB-220AC/24DC,3/8” NPT внутр.,414 бар,10.3мм,PVDF (стандарт),,,
,HB3-F-8N-AEB-220AC/24DC,"NPT 1/2"" внутр.",414 бар,10.3мм,PVDF (стандарт),,,
,H1B-H-6M-PK-ML-AEB-220AC/24DC,Hy-Lok 6мм,690 бар,10мм,PEEK,,,
,H1B-H-10M-PK-ML-AEB-220AC/24DC,Hy-Lok 10мм,690 бар,10мм,PEEK,,,
,H1B-H-12M-PK-ML-AEB-220AC/24DC,Hy-Lok 12мм,690 бар,10мм,PEEK,,,
,H1B-H-14M-PK-ML-AEB-220AC/24DC,Hy-Lok 14мм,690 бар,10мм,PEEK,,,
,H2B-H-16M-PK-ML-AEB-220AC/24DC,Hy-Lok 16мм,410 бар,12.7мм,PEEK,,,
,H2B-H-18M-PK-ML-AEB-220AC/24DC,Hy-Lok 18мм,410 бар,12.7мм,PEEK,,,
,H3B-H-20M-PK-ML-AEB-220AC/24DC,Hy-Lok 20мм,410 бар,-,PEEK,,,
,H3B-H-25M-PK-ML-AEB-220AC/24DC,Hy-Lok 25мм,410 бар,-,PEEK,,,
