#,Заказной код,"Параметр:Заказной код:Ду, мм",Параметр:Заказной код:Подсоединение,Параметр:Заказной код:DN
,VBZT-15-FN,"12,5","NPT 1/2""",DN15
,VBZT-20-FN,20,"NPT 3/4""",DN20
,VBZT-25-FN,25,"NPT 1""",DN25
,VBZT-38-FN,38,"NPT 1 1/2""",DN40
,VBZT-50-FN,50,"NPT 2""",DN50
