#,Заказной код,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Резьба,Параметр:Заказной код:Давление минимальное,Параметр:Заказной код:Давление максимальное
,VSAA-8-FN-1-DC24V-NO,1,0.08,"FNPT 1/4""",0 бар,60 бар
,"VSAA-8-FN-2,5-DC24V-NO","2,5",0.2,"FNPT 1/4""",0 бар,15 бар
,VSAA-8-FN-3-DC24V-NO,3,0.25,"FNPT 1/4""",0 бар,10 бар
,VSAA-8-FN-4-DC24V-NO,4,0.6,"FNPT 1/4""",0 бар,7 бар
,VSAA-8-FN-5-DC24V-NO,5,0.9,"FNPT 1/4""",0 бар,7 бар
,"VSAA-10-FN-1,5-DC24V-NO","1,5",0.08,"FNPT 3/8""",0 бар,50 бар
,VSAA-10-FN-2-DC24V-NO,2,0.15,"FNPT 3/8""",0 бар,30 бар
,"VSAA-10-FN-2,5-DC24V-NO","2,5",0.2,"FNPT 3/8""",0 бар,15 бар
,VSAA-10-FN-3-DC24V-NO,3,0.25,"FNPT 3/8""",0 бар,10 бар
,VSAA-10-FN-4-DC24V-NO,4,0.6,"FNPT 3/8""",0 бар,7 бар
,VSAA-10-FN-5-DC24V-NO,5,0.9,"FNPT 3/8""",0 бар,7 бар
,VSAA-8-FN-2-DC24V-NO,2,0.15 ,"FNPT 1/4""",0 бар,30 бар
