#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал
,94625A1343,RT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625A1351,NPT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625A1353,NPT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625A1361,G 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625A1363,G 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625A1371,RT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625A1373,RT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625A1381,NPT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625A1383,NPT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625A1391,NPT 1 1/2,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625A1393,NPT 1 1/2,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1331,G 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1333,G 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1341,RT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1343,RT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1351,NPT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1353,NPT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1361,G 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1363,G 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1371,RT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1373,RT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1381,NPT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1383,NPT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625C1391,NPT 1 1/2,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625C1393,NPT 1 1/2,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,93625A1331,G 1,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1333,G 1,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625A1341,RT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1343,RT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625A1351,NPT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1353,NPT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625A1361,G 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1363,G 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625A1371,RT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1373,RT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625A1381,NPT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1383,NPT 1 1/4,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625A1391,NPT 1 1/2,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625A1393,NPT 1 1/2,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1331,G 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1333,G 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1341,RT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1343,RT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1351,NPT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1353,NPT 1,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1361,G 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1363,G 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1371,RT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1373,RT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1381,NPT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1383,NPT 1 1/4,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
,93625C1391,NPT 1 1/2,"от 0,3 до 10бар","27,1",NPT 2,25мм,Нитрил,-196°C,250°C,Латунь
,93625C1393,NPT 1 1/2,"от 0,3 до 10бар","27,1",NPT 2,25мм,Витон,-196°C,250°C,Латунь
