#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Материал,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,
,2355F4Y,"NPT 1/8"" внутр.","NPT 1/8"" внутр.",Тефлон,Нерж.сталь,-51°С,121°С,
,2355G4Y,"Lok 1/4""","Lok 1/4""",Тефлон,Нерж.сталь,-51°С,121°С,
,2335F4Y,"NPT 1/4"" внутр.","NPT 1/4"" внутр.",Тефлон,Нерж.сталь,-51°С,121°С,
,2335G4Y,"Lok 1/4""","Lok 1/4""",Тефлон,Нерж.сталь,-51°С,121°С,
,2335G3YMM,Lok 3mm,Lok 3mm,Тефлон,Нерж.сталь,-51°С,121°С,
,2355F6YMM,Lok 6mm,Lok 6mm,Тефлон,Нерж.сталь,-51°С,121°С,
,2311F2B,NPT 1⁄8” внутр.,NPT 1⁄8” внутр.,Buna N,Латунь,-40°С,93°С,
,2311F4B,"NPT 1/4"" внутр.","NPT 1/4"" внутр.",Buna N,Латунь,-40°С,93°С,
,2331F2B,NPT 1⁄8” внутр.,NPT 1⁄8” внутр.,Buna N,Латунь,-40°С,93°С,
,2331F4B,"NPT 1/4"" внутр.","NPT 1/4"" внутр.",Buna N,Латунь,-40°С,93°С,
,2321F2B,NPT 1⁄8” внутр.,NPT 1⁄8” внутр.,Buna N,Латунь,-40°С,93°С,
,2321F4B,"NPT 1/4"" внутр.","NPT 1/4"" внутр.",Buna N,Латунь,-40°С,93°С,
,2341F4B,"NPT 1/4"" внутр.","NPT 1/4"" внутр.",Buna N,Латунь,-40°С,93°С,
