#,Заказной код,Параметр:Заказной код:Давление срабатывания,Параметр:Заказной код:Цвет
,RV2-SP-A,15.5-51.5бар,жёлтый
,RV2-SP-B,51.5-103бар,фиолетовый
,RV2-SP-C,103-155бар,оранжевый
,RV2-SP-D,155-206бар,коричневый
,RV2-SP-E,206-275бар,белый
,RV2-SP-F,275-344бар,красный
,RV2-SP-G,344-414бар,зеленый
