#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Материал,,
,359000009,"G 3/8""","G 1/2""",4.6мм,0.5,Металл по металлу,Нерж.сталь,,
,359530000,"G 1/2""","G 1/2""",4.6мм,0.5,Металл по металлу,Нерж.сталь,,
,359000040,"RT 1/2""","G 1/2""",4.6мм,0.5,Металл по металлу,Нерж.сталь,,
