#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VBXF-8-FN-TF,8мм,"NPT 1/4""",140 бар
,VBXF-10-FN-TF,10мм,"NPT 3/8""",140 бар
,VBXF-15-FN-TF,15мм,"NPT 1/2""",140 бар
,VBXF-20-FN-TF,20мм,"NPT 3/4""",140 бар
,VBXF-25-FN-TF,25мм,"NPT 1""",140 бар
,VBXF-32-FN-TF,32мм,"NPT 1_1/4""",140 бар
,VBXF-50-FN-TF,50мм,"NPT 2""",140 бар
