#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,SO1B-H-6M,Hy-Lok 6mm,"1,2","Ø4,8мм",-28°C,100°C
,SO1B-H-8M,Hy-Lok 8mm,"1,2","Ø4,8мм",-28°C,100°C
,SO1B-H-10M,Hy-Lok 10mm,"3,8","Ø7,1мм",-28°C,100°C
,SO2B-H-12M,Hy-Lok 12mm,"7,5","Ø10,4мм",-28°C,100°C
,SO3B-H-25M,Hy-Lok 25mm,40,"Ø22,2мм",-28°C,100°C
,SO1B-H-4T,"Hy-Lok 1/4""","1,2","Ø4,8мм",-28°C,100°C
,SO1B-H-6T,"Hy-Lok 3/8""","3,8","Ø7,1мм",-28°C,100°C
,SO2B-H-8T,"Hy-Lok 1/2""","7,5","Ø10,4мм",-28°C,100°C
,SO2B-H-12T,"Hy-Lok 3/4""","13,1","Ø13,6мм",-28°C,100°C
,SO3B-H-16T,"Hy-Lok 1""",40,"Ø22,2мм",-28°C,100°C
,SO1B-F-4N,"NPT 1/4""","3,8","Ø7,1мм",-28°C,100°C
,SO1B-F-4R,"RT 1/4""","3,8","Ø7,1мм",-28°C,100°C
,SO2B-F-6N,"NPT 3/8""",12,"Ø13,1мм",-28°C,100°C
,SO2B-F-6R,"RT 3/8""",12,"Ø13,1мм",-28°C,100°C
,SO2B-F-8N,"NPT 1/2""",12,"Ø13,1мм",-28°C,100°C
,SO2B-F-8R,"RT 1/2""",12,"Ø13,1мм",-28°C,100°C
,SO3B-F-12N,"NPT 3/4""",31,"Ø22,2мм",-28°C,100°C
,SO3B-F-12R,"RT 3/4""",31,"Ø22,2мм",-28°C,100°C
,SO3B-F-16N,"NPT 1""",38,"Ø22,2мм",-28°C,100°C
,SO3B-F-16R,"RT 1""",38,"Ø22,2мм",-28°C,100°C
,SO1B-SW-4T,"под приварку внахлест 1/4""","1,2","Ø4,8мм",-28°C,100°C
,SO1B-SW-6T,"под приварку внахлест 3/8""","3,8","Ø7,1мм",-28°C,100°C
,SO2B-SW-8T,"под приварку внахлест 1/2""","7,5","Ø10,4мм",-28°C,100°C
,SO2B-SW-12T,"под приварку внахлест 3/4""","13,6","Ø13,1мм",-28°C,100°C
,SO3B-SW-16T,"под приварку внахлест 1""","3,8","Ø7,1мм",-28°C,100°C
,SO2B-SW-8P,"под приварку встык 1/2""","1,2","Ø4,8мм",-28°C,100°C
,SO3B-SW-12P,"под приварку встык 3/4""","7,5","Ø10,4мм",-28°C,100°C
,SO3B-SW-16P,"под приварку встык 1""","13,6","Ø13,1мм",-28°C,100°C
