#,Заказной код,Параметр:Заказной код:Седло,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,,
,N8-LS-0-1A-A,CF8M,"0,2-2 бар","NPT 1/2""","NPT 1""",,
,N8-LS-0-1A-B,CF8M,"0,2-2 бар","NPT 3/4""","NPT 1""",,
,N8-LS-0-1A-C,CF8M,"0,2-2 бар","NPT 1""","NPT 1""",,
,N8-LS-0-1A-D,CF8M,"0,2-2 бар","NPT 1_1/4""","NPT 2""",,
,N8-LS-0-1A-E,CF8M,"0,2-2 бар","NPT 1_1/2""","NPT 2""",,
,N8-LS-0-1A-F,CF8M,"0,2-2 бар","NPT 2""","NPT 2""",,
,N8-LS-0-1B-A,CF8M,2-10 бар,"NPT 1/2""","NPT 1""",,
,N8-LS-0-1B-B,CF8M,2-10 бар,"NPT 3/4""","NPT 1""",,
,N8-LS-0-1B-C,CF8M,2-10 бар,"NPT 1""","NPT 1""",,
,N8-LS-0-1B-D,CF8M,2-10 бар,"NPT 1_1/4""","NPT 2""",,
,N8-LS-0-1B-E,CF8M,2-10 бар,"NPT 1_1/2""","NPT 2""",,
,N8-LS-0-1B-F,CF8M,2-10 бар,"NPT 2""","NPT 2""",,
,N8-LS-0-3-A,CF8M,11-20 бар,"NPT 1/2""","NPT 1""",,
,N8-LS-0-3-B,CF8M,11-20 бар,"NPT 3/4""","NPT 1""",,
,N8-LS-0-3-C,CF8M,11-20 бар,"NPT 1""","NPT 1""",,
,N8-LS-0-3-D,CF8M,11-20 бар,"NPT 1_1/4""","NPT 2""",,
,N8-LS-0-3-E,CF8M,11-20 бар,"NPT 1_1/2""","NPT 2""",,
,N8-LS-0-3-F,CF8M,11-20 бар,"NPT 2""","NPT 2""",,
,N8-LS-P-2-A,CF8M+PTFE,2-10 бар,"NPT 1/2""","NPT 1""",,
,N8-LS-P-2-B,CF8M+PTFE,2-10 бар,"NPT 3/4""","NPT 1""",,
,N8-LS-P-2-C,CF8M+PTFE,2-10 бар,"NPT 1""","NPT 1""",,
,N8-LS-P-2-D,CF8M+PTFE,2-10 бар,"NPT 1_1/4""","NPT 2""",,
,N8-LS-P-2-E,CF8M+PTFE,2-10 бар,"NPT 1_1/2""","NPT 2""",,
,N8-LS-P-2-F,CF8M+PTFE,2-10 бар,"NPT 2""","NPT 2""",,
,N8-LS-P-3-A,CF8M+PTFE,11-20 бар,"NPT 1/2""","NPT 1""",,
,N8-LS-P-3-B,CF8M+PTFE,11-20 бар,"NPT 3/4""","NPT 1""",,
,N8-LS-P-3-C,CF8M+PTFE,11-20 бар,"NPT 1""","NPT 1""",,
,N8-LS-P-3-D,CF8M+PTFE,11-20 бар,"NPT 1_1/4""","NPT 2""",,
,N8-LS-P-3-E,CF8M+PTFE,11-20 бар,"NPT 1_1/2""","NPT 2""",,
,N8-LS-P-3-F,CF8M+PTFE,11-20 бар,"NPT 2""","NPT 2""",,
