#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Тип привода,Параметр:Заказной код:Материал
,BLSV1-VM-4-H,"ZCR 1/4"" наруж.",круглая рукоятка,сталь 316L
,BLSV1-VM-4-PC,"ZCR 1/4"" наруж.",Нормально-открытый,сталь 316L
,BLSV1-VM-4-PO,"ZCR 1/4"" наруж.",Нормально-открытый,сталь 316L
,BLSV1-VM-4-R,"ZCR 1/4"" наруж.",круглая рукоятка,сталь 316L
,BLSV1-VM-8-PC,"ZCR 1/2"" наруж.",Нормально-открытый,сталь 316L
,BLSV1-VM-8-R,"ZCR 1/2"" наруж.",круглая рукоятка,сталь 316L
