#,Заказной код,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Дренаж,
,EDBB-BNB-BV4NS-PM-FS,PVDF,-40°С,150°С,"NPT 1/2""","NPT 1/4""",
,EDBB-NNN-NV4NS-FS,Graphite,-40°С,427°С,"NPT 1/2""","NPT 1/4""",
