#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура,Параметр:Заказной код:Температура максимальная
,VB1SVH-1T,"Hy-Lok 1/16""","0,1","1,3",172 бар,-54°C,149°C
,VB3SVH-6T,"Hy-Lok 3/8""",6,"7,1",172 бар,-20°C,149°C
,VB4SVH-8T,"Hy-Lok 1/2""",12,"10,3",103 бар,-20°C,149°C
,VB4SVH-12T,"Hy-Lok 3/4""",12,"10,3",103 бар,-20°C,149°C
,VB3SVH-10M,Hy-Lok 10mm,6,"7,1",172 бар,-20°C,149°C
,VB4SVH-12M,Hy-Lok 12mm,12,"10,3",103 бар,-20°C,149°C
,VB1SVH-2T,"Hy-Lok 1/8""","0,2","2,4",172 бар,-54°C,149°C
,VB1SVH-4T,"Hy-Lok 1/4""","0,5","3,2",172 бар,-54°C,149°C
,VB2SVH-4T,"Hy-Lok 1/4""","1,2","4,8",207 бар,-54°C,149°C
,VB2SVH-6T,"Hy-Lok 3/8""","1,2","4,8",207 бар,-54°C,149°C
,VB1SVH-3M,Hy-Lok 3mm,"0,2","2,4",172 бар,-54°C,149°C
,VB1SVH-6M,Hy-Lok 6mm,"0,5","3,2",172 бар,-54°C,149°C
,VB2SVH-6M,Hy-Lok 6mm,"1,2","4,8",207 бар,-54°C,149°C
,VB2SVH-8M,Hy-Lok 8mm,"1,2","4,8",207 бар,-54°C,149°C
