#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2
,DCVM-10ED-06L,M10x1,DIN 6mm
,DCVM-12ED-08L,"M12x1,5",DIN 8mm
,DCVM-14ED-10L,"M14x1,5",DIN 10mm
,DCVM-16ED-12L,"M16x1,5",DIN 12mm
,DCVM-18ED-15L,"M18x1,5",DIN 15mm
,DCVM-22EL-18L,"M22x1,5",DIN 18mm
,DCVM-26ED-22L,"M26x1,5",DIN 22mm
,DCVM-33ED-28L,"M33x2,0",DIN 28mm
,DCVM-42ED-35L,"M42x2,0",DIN 35mm
,DCVM-48ED-42L,"M48x2,0",DIN 42mm
,DCVM-12ED-06S,"M12x1,5",DIN 6mm
,DCVM-14ED-08S,"M14x1,5",DIN 8mm
,DCVM-16ED-10S,"M16x1,5",DIN 10mm
,DCVM-18ED-12S,"M18x1,5",DIN 12mm
,DCVM-20ED-14S,"M20x1,5",DIN 14mm
,DCVM-22ED-16S,"M22x1,5",DIN 16mm
,DCVM-27ED-20S,"M26x1,5",DIN 20mm
,DCVM-33ED-25S,"M33x2,0",DIN 25mm
,DCVM-42ED-30S,"M42x2,0",DIN 30mm
,DCVM-48ED-38S,"M48x2,0",DIN 38mm
,DCV-12GED-38S,"BSPP 1 1/2""",DIN 38mm
