#,Заказной код,Параметр:Заказной код:Седло,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение
,N9-LB-0-1A-A,латунь,"0,2-2 бар","NPT 1/2"""
,N9-LB-0-1A-B,латунь,"0,2-2 бар","NPT 3/4"""
,N9-LB-0-1A-C,латунь,"0,2-2 бар","NPT 1"""
,N9-LB-0-1A-D,латунь,"0,2-2 бар","NPT 1-1/4"""
,N9-LB-0-1A-E,латунь,"0,2-2 бар","NPT 1-1/2"""
,N9-LB-0-1A-F,латунь,"0,2-2 бар","NPT 2"""
,N9-LB-0-1B-A,латунь,2-10 бар,"NPT 1/2"""
,N9-LB-0-1B-B,латунь,2-10 бар,"NPT 3/4"""
,N9-LB-0-1B-C,латунь,2-10 бар,"NPT 1"""
,N9-LB-0-1B-D,латунь,2-10 бар,"NPT 1-1/4"""
,N9-LB-0-1B-E,латунь,2-10 бар,"NPT 1-1/2"""
,N9-LB-0-1B-F,латунь,2-10 бар,"NPT 2"""
,N9-LB-0-3-A,латунь,11-20 бар,"NPT 1/2"""
,N9-LB-0-3-B,латунь,11-20 бар,"NPT 3/4"""
,N9-LB-0-3-C,латунь,11-20 бар,"NPT 1"""
,N9-LB-0-3-D,латунь,11-20 бар,"NPT 1-1/4"""
,N9-LB-0-3-E,латунь,11-20 бар,"NPT 1-1/2"""
,N9-LB-0-3-F,латунь,11-20 бар,"NPT 2"""
,N9-LB-P-2-A,латунь+PTFE,2-10 бар,"NPT 1/2"""
,N9-LB-P-2-B,латунь+PTFE,2-10 бар,"NPT 3/4"""
,N9-LB-P-2-C,латунь+PTFE,2-10 бар,"NPT 1"""
,N9-LB-P-2-D,латунь+PTFE,2-10 бар,"NPT 1-1/4"""
,N9-LB-P-2-E,латунь+PTFE,2-10 бар,"NPT 1-1/2"""
,N9-LB-P-2-F,латунь+PTFE,2-10 бар,"NPT 2"""
,N9-LB-P-3-A,латунь+PTFE,11-20 бар,"NPT 1/2"""
,N9-LB-P-3-B,латунь+PTFE,11-20 бар,"NPT 3/4"""
,N9-LB-P-3-C,латунь+PTFE,11-20 бар,"NPT 1"""
,N9-LB-P-3-D,латунь+PTFE,11-20 бар,"NPT 1-1/4"""
,N9-LB-P-3-E,латунь+PTFE,11-20 бар,"NPT 1-1/2"""
,N9-LB-P-3-F,латунь+PTFE,11-20 бар,"NPT 2"""
