#;Заказной код;Параметр:Заказной код:Подсоединение;Параметр:Заказной код:Давление;Параметр:Заказной код:Cv;Параметр:Заказной код:Ø;Параметр:Заказной код:Температура минимальная;Параметр:Заказной код:Температура максимальная;Параметр:Заказной код:Материал седла;Параметр:Заказной код:Форма корпуса;Условное обозначение:Заказной код:Подсоединение
;HB3-H-12M-P;Hy-Lok 12мм;414 бар;5,57;9,5;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 12мм
;HB3-H-12M-PK;Hy-Lok 12мм;414 бар;5,57;9,5;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 12мм
;HB1-H-2T;Hy-Lok 1/8;414 бар;0,21;2,4;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/8
;HB1-H-2T-P;Hy-Lok 1/8;103 бар;0,21;2,4;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/8
;HB1-H-4T;Hy-Lok 1/4;414 бар;0,93;4,2;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/4
;HB1-H-4T-P;Hy-Lok 1/4;103 бар;0,93;4,2;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/4
;HB2-H-6T;Hy-Lok 3/8;414 бар;2,34;6,4;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 3/8
;HB2-H-6T-P;Hy-Lok 3/8;103 бар;2,34;6,4;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 3/8
;HB3-H-8T;Hy-Lok 1/2;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/2
;HB3-H-8T-P;Hy-Lok 1/2;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/2
;HB1-F-2N;NPT 1/8;414 бар;0,93;4,2;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/8 внутр.
;HB1-F-2N-P;NPT 1/8;103 бар;0,93;4,2;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/8 внутр.
;HB2-F-4N;NPT 1/4;414 бар;2,34;6,4;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/4 внутр.
;HB2-F-4N-P;NPT 1/4;103 бар;2,34;6,4;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/4 внутр.
;HB3-F-6N;NPT 3/8;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 3/8 внутр.
;HB3-F-6N-P;NPT 3/8;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 3/8 внутр.
;HB3-F-8N;NPT 1/2;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/2 внутр.
;HB3-F-8N-P;NPT 1/2;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/2 внутр.
;HB1-M-4N;NPT 1/4;414 бар;0,93;4,2;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/4 наруж.
;HB1-M-4N-P;NPT 1/4;103 бар;0,93;4,2;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/4 наруж.
;HB2-M-6N;NPT 3/8;414 бар;2,34;6,4;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 3/8 наруж.
;HB2-M-6N-P;NPT 3/8;103 бар;2,34;6,4;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 3/8 наруж.
;HB3-M-8N;NPT 1/2;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/2 наруж.
;HB3-M-8N-P;NPT 1/2;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/2 наруж.
;HB2-F-4R;RT 1/4;414 бар;2,34;6,4;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/4 внутр.
;HB2-F-4R-P;RT 1/4;103 бар;2,34;6,4;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/4 внутр.
;HB3-F-6R;RT 3/8;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 3/8 внутр.
;HB3-F-6R-P;RT 3/8;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 3/8 внутр.
;HB3-F-8R;RT 1/2;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/2 внутр.
;HB3-F-8R-P;RT 1/2;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/2 внутр.
;HB1-M-4R;RT 1/4;414 бар;0,93;4,2;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/4 наруж.
;HB1-M-4R-P;RT 1/4;103 бар;0,93;4,2;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/4 наруж.
;HB2-M-6R;RT 3/8;414 бар;2,34;6,4;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 3/8 наруж.
;HB2-M-6R-P;RT 3/8;103 бар;2,34;6,4;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 3/8 наруж.
;HB3-M-8R;RT 1/2;414 бар;6,42;10,3;-54°C;148°C;PCTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/2 наруж.
;HB3-M-8R-P;RT 1/2;103 бар;6,42;10,3;-54°C;148°C;PTFE;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;RT 1/2 наруж.
;HB1-B3-H-3M;Hy-Lok 3мм;414 бар;0,18;2,2;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 3мм
;HB1-B3-H-3M-P;Hy-Lok 3мм;103 бар;0,18;2,2;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 3мм
;HB1-B3-H-6M;Hy-Lok 6мм;414 бар;0,63;4,2;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 6мм
;HB1-B3-H-6M-P;Hy-Lok 6мм;103 бар;0,63;4,2;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 6мм
