#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VBXF-8-FG-150bar,8мм,"G 1/4""",150 бар
,VBXF-10-FG-150bar,10мм,"G 3/8""",150 бар
,VBXF-15-FG-150bar,15мм,"G 1/2""",150 бар
,VBXF-20-FG-150bar,20мм,"G 3/4""",150 бар
,VBXF-25-FG-150bar,25мм,"G 1""",150 бар
,VBXF-32-FG-100bar,32мм,"G 1 1/4""",100 бар
,VBXF-40-FG-100bar,40мм,"G 1 1/2""",100 бар
,VBXF-50-FG-100bar,50мм,"G 2""",100 бар
,VBXF-60-FG-63bar,60мм,"G 2 1/2""",63 бар
,VBXF-80-FG-63bar,80мм,"G 3""",63 бар
,VBXF-100-FG-63bar,100мм,"G 4""",63 бар
