#,Заказной код,Параметр:Заказной код:Седло,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение
,N9-LS-0-1A-A,CF8,"0,2-2 бар","NPT 1/2"""
,N9-LS-0-1A-B,CF8,"0,2-2 бар","NPT 3/4"""
,N9-LS-0-1A-C,CF8,"0,2-2 бар","NPT 1"""
,N9-LS-0-1A-D,CF8,"0,2-2 бар","NPT 1-1/4"""
,N9-LS-0-1A-E,CF8,"0,2-2 бар","NPT 1-1/2"""
,N9-LS-0-1A-F,CF8,"0,2-2 бар","NPT 2"""
,N9-LS-0-1B-A,CF8,2-10 бар,"NPT 1/2"""
,N9-LS-0-1B-B,CF8,2-10 бар,"NPT 3/4"""
,N9-LS-0-1B-C,CF8,2-10 бар,"NPT 1"""
,N9-LS-0-1B-D,CF8,2-10 бар,"NPT 1-1/4"""
,N9-LS-0-1B-E,CF8,2-10 бар,"NPT 1-1/2"""
,N9-LS-0-1B-F,CF8,2-10 бар,"NPT 2"""
,N9-LS-0-3-A,CF8,11-20 бар,"NPT 1/2"""
,N9-LS-0-3-B,CF8,11-20 бар,"NPT 3/4"""
,N9-LS-0-3-C,CF8,11-20 бар,"NPT 1"""
,N9-LS-0-3-D,CF8,11-20 бар,"NPT 1-1/4"""
,N9-LS-0-3-E,CF8,11-20 бар,"NPT 1-1/2"""
,N9-LS-0-3-F,CF8,11-20 бар,"NPT 2"""
,N9-LS-P-2-A,CF8+PTFE,2-10 бар,"NPT 1/2"""
,N9-LS-P-2-B,CF8+PTFE,2-10 бар,"NPT 3/4"""
,N9-LS-P-2-C,CF8+PTFE,2-10 бар,"NPT 1"""
,N9-LS-P-2-D,CF8+PTFE,2-10 бар,"NPT 1-1/4"""
,N9-LS-P-2-E,CF8+PTFE,2-10 бар,"NPT 1-1/2"""
,N9-LS-P-2-F,CF8+PTFE,2-10 бар,"NPT 2"""
,N9-LS-P-3-A,CF8+PTFE,11-20 бар,"NPT 1/2"""
,N9-LS-P-3-B,CF8+PTFE,11-20 бар,"NPT 3/4"""
,N9-LS-P-3-C,CF8+PTFE,11-20 бар,"NPT 1"""
,N9-LS-P-3-D,CF8+PTFE,11-20 бар,"NPT 1-1/4"""
,N9-LS-P-3-E,CF8+PTFE,11-20 бар,"NPT 1-1/2"""
,N9-LS-P-3-F,CF8+PTFE,11-20 бар,"NPT 2"""
