#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,BLV-2N,"NPT 1/8""",689 бар,"0,25",-54°С,454°С
,BLV-4N,"NPT 1/4""",689 бар,"0,25",-54°С,454°С
,BLV-6N,"NPT 3/8""",689 бар,"0,25",-54°С,454°С
,BLV-8N,"NPT 1/2""",689 бар,"0,25",-54°С,454°С
,BLV-12N,"NPT 3/4""",689 бар,"0,25",-54°С,454°С
