#,Серия,Параметр:Серия:Серия,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Условное обозначение:Тип подсоединения:Тип подсоединения,Размеры подсоединений,Параметр:Размеры подсоединений:Размеры подсоединений,Условное обозначение:Размеры подсоединений:Размеры подсоединений,Форма рукоятки,Параметр:Форма рукоятки:Форма рукоятки,Условное обозначение:Форма рукоятки:Форма рукоятки,Замок для фиксации,Параметр:Замок для фиксации:Замок для фиксации,Условное обозначение:Замок для фиксации:Замок для фиксации,Применение для кислых сред,Параметр:Применение для кислых сред:Применение для кислых сред,Условное обозначение:Применение для кислых сред:Применение для кислых сред,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал,Серия привода,Параметр:Серия привода:Серия привода,Условное обозначение:Серия привода:Серия привода
,BV,BV,H,H,Трубный фитинг Hy-Lok,4N,4N,NPT 1/4,-,-,Рукоятка стандартная красная (по умолчанию),-,-,Отсутствует (стандарт),-,-,Отсутствует (стандарт),-,-,Нерж. Сталь S316 (по умолчанию),-,-,Отсутствует
,,,F,F,Внутренняя резьба,6N,6N,NPT 3/8,YH,YH,Рукоятка стандартная жёлтая,L,L,Фиксатор рукоятки болтом,SOG,SOG,NACE MR-01-75,BRAS,BRAS,BRAS,APB-C,APB-C,Пневмопривод нормально закрытый
,,,,,,8N,8N,NPT 1/2,B,B,В форме бабочки,SL,SL,Стопор для фиксации рукоятки и  установки замка,,,,,,,APB-O,APB-O,Пневмопривод нормально открытый
,,,,,,12N,12N,NPT 3/4,N,N,Пластиковая рукоятка,,,,,,,,,,AEB-24DC,AEB-24DC,Электропривод 24v
,,,,,,16N,16N,NPT 1,,,,,,,,,,,,,AEB-220AC,AEB-220AC,Электропривод 220V
,,,,,,4R,4R,RT (BSPT) 1/4,,,,,,,,,,,,,,,
,,,,,,6R,6R,RT (BSPT) 3/8,,,,,,,,,,,,,,,
,,,,,,8R,8R,RT (BSPT) 1/2,,,,,,,,,,,,,,,
,,,,,,12R,12R,RT (BSPT) 3/4,,,,,,,,,,,,,,,
,,,,,,16R,16R,RT (BSPT) 1,,,,,,,,,,,,,,,
,,,,,,4G,4G,G (BSPP) 1/4,,,,,,,,,,,,,,,
,,,,,,6G,6G,G (BSPP) 3/8,,,,,,,,,,,,,,,
,,,,,,8G,8G,G (BSPP) 1/2,,,,,,,,,,,,,,,
,,,,,,12G,12G,G (BSPP) 3/4,,,,,,,,,,,,,,,
,,,,,,16G,16G,G (BSPP) 1,,,,,,,,,,,,,,,
,,,,,,3M,3M,Hy-Lok 3mm,,,,,,,,,,,,,,,
,,,,,,6M,6M,Hy-Lok 6mm,,,,,,,,,,,,,,,
,,,,,,8M,8M,Hy-Lok 8mm,,,,,,,,,,,,,,,
,,,,,,10M,10M,Hy-Lok 10mm,,,,,,,,,,,,,,,
,,,,,,12M,12M,Hy-Lok 12mm,,,,,,,,,,,,,,,
,,,,,,14M,14M,Hy-Lok 14mm,,,,,,,,,,,,,,,
,,,,,,16M,16M,Hy-Lok 16mm,,,,,,,,,,,,,,,
,,,,,,22M,22M,Hy-Lok 22mm,,,,,,,,,,,,,,,
,,,,,,25M,25M,Hy-Lok 25mm,,,,,,,,,,,,,,,
,,,,,,2T,2T,Hy-Lok 1/8,,,,,,,,,,,,,,,
,,,,,,4T,4T,Hy-Lok 1/4,,,,,,,,,,,,,,,
,,,,,,5T,5T,Hy-Lok 5/16,,,,,,,,,,,,,,,
,,,,,,6T,6T,Hy-Lok 3/8,,,,,,,,,,,,,,,
,,,,,,8T,8T,Hy-Lok 1/2,,,,,,,,,,,,,,,
,,,,,,10T,10T,Hy-Lok 5/8,,,,,,,,,,,,,,,
,,,,,,12T,12T,Hy-Lok 3/4,,,,,,,,,,,,,,,
,,,,,,14T,14T,Hy-Lok 7/8,,,,,,,,,,,,,,,
,,,,,,16T,16T,Hy-Lok 1,,,,,,,,,,,,,,,
