#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H2B-3S-F-8N,внутр.,272 бар,10,"12,7",NPT 1/2,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-F-8N-PC,внутр.,272 бар,10,"12,7",NPT 1/2,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-F-8N-PK,внутр.,328 бар,10,"12,7",NPT 1/2,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-H-12T,,272 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-H-12T-PC,,272 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3S-H-12T-PK,,328 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-12N,внутр.,328 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-12N-ML,внутр.,328 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-F-12N-PC,внутр.,328 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-12N-PC-ML,внутр.,328 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-F-12N-PK,внутр.,328 бар,30,19,NPT 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-12N-PK-ML,внутр.,328 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-F-16N,внутр.,272 бар,30,19,NPT 1,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-16N-ML,внутр.,272 бар,30,19,NPT 1,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-F-16N-PC,внутр.,272 бар,30,19,NPT 1,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-16N-PC-ML,внутр.,272 бар,30,19,NPT 1,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-F-16N-PK,внутр.,272 бар,30,19,NPT 1,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-F-16N-PK-ML,внутр.,272 бар,30,19,NPT 1,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-H-12T,,328 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-12T-PC,,328 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-12T-PK,,328 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-16T,,272 бар,30,19,Hy-Lok 1,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-16T-PC,,272 бар,30,19,Hy-Lok 1,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-16T-PK,,272 бар,30,19,Hy-Lok 1,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-20M,,272 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-20M-ML,,272 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-H-20M-PC,,272 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-20M-PC-ML,,272 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-H-20M-PK,,272 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-20M-PK-ML,,272 бар,19,"15,8",Hy-Lok 20мм,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-H-25M,,272 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-25M-ML,,272 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PVDF,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-H-25M-PC,,272 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-25M-PC-ML,,272 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PCTFE,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-3S-H-25M-PK,,272 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3S-H-25M-PK-ML,,328 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PEEK,Viton,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-10T-PKPT,,410 бар,10,"12,7",Hy-Lok 5/8,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-10T-PKPT,,410 бар,10,"12,7",Hy-Lok 5/8,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-12T-PKPT,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-12T-PK,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-12T-PKPT,,410 бар,19,"15,8",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-12T-PKPT,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-12T-PKPT,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-H-12T-PKPT,,410 бар,10,"12,7",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-12T-PKPT,,410 бар,19,"15,8",Hy-Lok 3/4,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12N-PKPT,внутр.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12N-PKPT,внутр.,410 бар,30,19,NPT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12N-PKPT,внутр.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12N-PKPT,внутр.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-12N-PKPT,внутр.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-F-12N-PKPT,внутр.,410 бар,30,19,NPT 3/4,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12R-PKPT,внутр.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12R-PKPT,внутр.,410 бар,30,19,RT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12R-PKPT,внутр.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12R-PKPT,внутр.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12R-PKPT,наруж.,410 бар,10,"12,7",RT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12N-PKPT,наруж.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12N-PKPT,наруж.,410 бар,10,"12,7",NPT 3/4,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-16T-PKPT,,410 бар,30,19,Hy-Lok 1,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-16T-PKPT,,410 бар,30,19,Hy-Lok 1,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-16T-PKPT,,410 бар,30,19,Hy-Lok 1,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-16N-PKPT,внутр.,410 бар,30,19,NPT 1,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-16N-PKPT,внутр.,410 бар,30,19,NPT 1,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-F-16N-PKPT,внутр.,410 бар,30,19,NPT 1,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-16R-PKPT,внутр.,410 бар,30,19,NPT 1,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-16R-PKPT,внутр.,410 бар,30,19,RT 1,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-8N-PKPT,внутр.,410 бар,"7,5",10,NPT 1/2,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-8N-PKPT,внутр.,410 бар,10,"12,7",NPT 1/2,-46°C,232°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-8R-PKPT,внутр.,410 бар,"7,5",10,RT 1/2,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-16M-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 16мм,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-PKPT,,410 бар,10,"12,7",Hy-Lok 16мм,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-18M-PKPT-ML,,410 бар,10,"12,7",Hy-Lok 18мм,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-H-18M-PKPT-ML,,410 бар,19,"15,8",Hy-Lok 18мм,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-18M-PKPT,,410 бар,10,"12,7",Hy-Lok 18мм,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-18M-PKPT,,410 бар,19,"15,8",Hy-Lok 18мм,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-25M-PKPT-ML,,410 бар,30,19,Hy-Lok 25мм,-46°C,232°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-A-H-25M-PKPT,,410 бар,30,19,Hy-Lok 25мм,-46°C,232°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-10M,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-10M-ML,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-10M-PC,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-10M-PC-ML,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-10M-PK,,690 бар,"3,7","7,1",Hy-Lok 10мм,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-10M-PK-ML,,690 бар,"3,7","7,1",Hy-Lok 10мм,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-12M,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-12M-ML,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-12M-PC,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-12M-PC-ML,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-12M-PK,,690 бар,"7,5",10,Hy-Lok 12мм,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-12M-PK-ML,,690 бар,"7,5",10,Hy-Lok 12мм,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-4T,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-4T-ML,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-4T-PC,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-4T-PC-ML,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-4T-PK,,690 бар,"1,2","4,8",Hy-Lok 1/4,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-4T-PK-ML,,690 бар,"1,2","4,8",Hy-Lok 1/4,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-6M,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-6M-ML,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-6M-PC,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-6M-PC-ML,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,180°C,PCTFE,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-6M-PK,,690 бар,"1,2","4,8",Hy-Lok 6мм,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-6M-PK-ML,,690 бар,"1,2","4,8",Hy-Lok 6мм,-54°C,260°C,PEEK,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3B-H-6T,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3B-H-6T-ML,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,130°C,PVDF,PTFE,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
