#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Конфигурация,Параметр:Заказной код:Игла
,NV100VS04-O,"O.D. 1/4""",3-х ходовой (1-й тип),Стандартная
,NV100VS04-T,"O.D. 1/4""",3-х ходовой (2-й тип),Стандартная
,NV100VS04-S,"O.D. 1/4""",Прямой,Стандартная
,NV100VS04-A,"O.D. 1/4""",Угловой,Стандартная
