#,Заказной код,Параметр:Заказной код:Усилие на валу,Параметр:Заказной код:Напряжение,Параметр:Заказной код:Дополнительные опции
,AR31E030.220/50,3000 Н ,220/50,стандарт
,AR31E050.220/50,5000 Н,220/50,стандарт
,AR31E080.220/50,8000 Н ,220/50,стандарт
,AR31E100.220/50,10000 Н,220/50,стандарт
,AR31E160.220/50,16000 Н ,220/50,стандарт
,AR31E200.220/50,20000 Н ,220/50,стандарт
,AR31E300.220/50,30000 Н,220/50,стандарт
,AR31E030.24/DC,3000 Н ,24/DC,стандарт
,AR31E050.24/DC,5000 Н,24/DC,стандарт
,AR31E080.24/DC,8000 Н ,24/DC,стандарт
,AR31E100.24/DC,10000 Н,24/DC,стандарт
,AR31E160.24/DC,16000 Н ,24/DC,стандарт
,AR31E200.24/DC,20000 Н ,24/DC,стандарт
,AR31E300.24/DC,30000 Н,24/DC,стандарт
,AR31E030.LT.220/50,3000 Н ,220/50,на -40°C
,AR31E050.LT.220/50,5000 Н,220/50,на -40°C
,AR31E080.LT.220/50,8000 Н ,220/50,на -40°C
,AR31E100.LT.220/50,10000 Н,220/50,на -40°C
,AR31E160.LT.220/50,16000 Н ,220/50,на -40°C
,AR31E200.LT.220/50,20000 Н ,220/50,на -40°C
,AR31E300.LT.220/50,30000 Н,220/50,на -40°C
,AR31E030.LT.24/DC,3000 Н ,24/DC,на -40°C
,AR31E050.LT.24/DC,5000 Н,24/DC,на -40°C
,AR31E080.LT.24/DC,8000 Н ,24/DC,на -40°C
,AR31E100.LT.24/DC,10000 Н,24/DC,на -40°C
,AR31E160.LT.24/DC,16000 Н ,24/DC,на -40°C
,AR31E200.LT.24/DC,20000 Н ,24/DC,на -40°C
,AR31E300.LT.24/DC,30000 Н,24/DC,на -40°C
,AR31E030.POSI.LT.220/50,3000 Н ,220/50,позиционер -40°C
,AR31E050.POSI.LT.220/50,5000 Н,220/50,позиционер -40°C
,AR31E080.POSI.LT.220/50,8000 Н ,220/50,позиционер -40°C
,AR31E100.POSI.LT.220/50,10000 Н,220/50,позиционер -40°C
,AR31E160.POSI.LT.220/50,16000 Н ,220/50,позиционер -40°C
,AR31E200.POSI.LT.220/50,20000 Н ,220/50,позиционер -40°C
,AR31E300.POSI.LT.220/50,30000 Н,220/50,позиционер -40°C
,AR31E030.POSI.LT.24/DC,3000 Н ,24/DC,позиционер -40°C
,AR31E050.POSI.LT.24/DC,5000 Н,24/DC,позиционер -40°C
,AR31E080.POSI.LT.24/DC,8000 Н ,24/DC,позиционер -40°C
,AR31E100.POSI.LT.24/DC,10000 Н,24/DC,позиционер -40°C
,AR31E160.POSI.LT.24/DC,16000 Н ,24/DC,позиционер -40°C
,AR31E200.POSI.LT.24/DC,20000 Н ,24/DC,позиционер -40°C
,AR31E300.POSI.LT.24/DC,30000 Н,24/DC,позиционер -40°C
,AR31E030.INT.D.220/50,3000 Н ,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E050.INT.D.220/50,5000 Н,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E080.INT.D.220/50,8000 Н ,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E100.INT.D.220/50,10000 Н,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E160.INT.D.220/50,16000 Н ,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E200.INT.D.220/50,20000 Н ,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E300.INT.D.220/50,30000 Н,220/50,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E030.INT.D.24/DC,3000 Н ,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E050.INT.D.24/DC,5000 Н,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E080.INT.D.24/DC,8000 Н ,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E100.INT.D.24/DC,10000 Н,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E160.INT.D.24/DC,16000 Н ,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E200.INT.D.24/DC,20000 Н ,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E300.INT.D.24/DC,30000 Н,24/DC,интеллектуальный блок ручное управление вкл/выкл   -40°С 
,AR31E030.INT.E.220/50,3000 Н ,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E050.INT.E.220/50,5000 Н,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
