#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,BVD-F-2G,"G 1/8"" внутр.",6мм,500бар,-23°C,100°C
,BVD-F-4G,"G 1/4"" внутр.",6мм,500бар,-23°C,100°C
,BVD-F-6G,"G 3/8"" внутр.",10мм,500бар,-23°C,100°C
,BVD-F-8G,"G 1/2"" внутр.",13мм,500бар,-23°C,100°C
,BVD-F-12G,"G 3/4"" внутр.",20мм,315бар,-23°C,100°C
,BVD-F-16G,"G 1"" внутр.",25мм,315бар,-23°C,100°C
,BVD-F-20G-DN25,G 1 1/4 внутр.,25мм,315бар,-23°C,100°C
,BVD-F-20G-DN32,G 1 1/4 внутр.,32мм,315бар,-23°C,100°C
,BVD-F-24G-DN25,"G 1 1/2"" внутр.",25мм,315бар,-23°C,100°C
,BVD-F-24G-DN38,"G 1 1/2"" внутр.",38мм,315бар,-23°C,100°C
,BVD-F-32G-DN38,"G 2"" внутр.",38мм,315бар,-23°C,100°C
