#,Заказной код,Параметр:Заказной код:Вход/Выход,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,,,,
,T-H-6M,Hy-Lok 6mm,413 бар,-17°C,121°C,,,,
,T-H-8M,Hy-Lok 8mm,413 бар,-17°C,121°C,,,,
,T-H-10M,Hy-Lok 10mm,413 бар,-17°C,121°C,,,,
,T-H-12M,Hy-Lok 12mm,413 бар,-17°C,121°C,,,,
,TH-H-6M,Hy-Lok 6mm,689 бар,-17°C,232°C,,,,
,TH-H-8M,Hy-Lok 8mm,689 бар,-17°C,232°C,,,,
,TH-H-10M,Hy-Lok 10mm,689 бар,-17°C,232°C,,,,
,TH-H-12M,Hy-Lok 12mm,689 бар,-17°C,232°C,,,,
,T-H-4T,"Hy-Lok 1/4""",413 бар,-17°C,121°C,,,,
,T-H-6T,"Hy-Lok 3/8""",413 бар,-17°C,121°C,,,,
,T-H-8T,"Hy-Lok 1/2""",413 бар,-17°C,121°C,,,,
,TH-H-4T,"Hy-Lok 1/4""",689 бар,-17°C,232°C,,,,
,TH-H-6T,"Hy-Lok 3/8""",689 бар,-17°C,232°C,,,,
,TH-H-8T,"Hy-Lok 1/2""",689 бар,-17°C,232°C,,,,
,T-F-2N,"Hy-Lok NPT 1/8""",413 бар,-17°C,121°C,,,,
,T-F-2R,"Hy-Lok RT 1/8""",413 бар,-17°C,121°C,,,,
,T-F-4N,"Hy-Lok NPT 1/4""",413 бар,-17°C,121°C,,,,
,T-F-4R,"Hy-Lok RT 1/4""",413 бар,-17°C,121°C,,,,
,TH-F-2N,"Hy-Lok NPT 1/8""",689 бар,-17°C,232°C,,,,
,TH-F-2R,"Hy-Lok RT 1/8""",689 бар,-17°C,232°C,,,,
,TH-F-4N,"Hy-Lok NPT 1/4""",689 бар,-17°C,232°C,,,,
,TH-F-4R,"Hy-Lok RT 1/4""",689 бар,-17°C,232°C,,,,
