#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление
,VBA-MRF-M20-TF-VP,M20x1.5 наруж.,M20x1.5 вращ.,138 бар
,VBA-MRF-8G-TF-VP,"G1/2"" наруж.","G1/2"" вращ.",138 бар
,VBA-ARF-6M-M20-TF-VP,Lok 6mm,M20x1.5 вращ.,138 бар
,VBA-ARF-8M-M20-TF-VP,Lok 8mm,M20x1.5 вращ.,138 бар
,VBA-ARF-10M-M20-TF-VP,Lok 10mm,M20x1.5 вращ.,138 бар
,VBA-ARF-12M-M20-TF-VP,Lok 12mm,M20x1.5 вращ.,138 бар
,VBA-ARF-14M-M20-TF-VP,Lok 14mm,M20x1.5 вращ.,138 бар
,VBA-ARF-6M-4G-TF-VP,Lok 6mm,"G1/4"" вращ.",138 бар
,VBA-ARF-6M-8G-TF-VP,Lok 6mm,"G1/2"" вращ.",138 бар
,VBA-ARF-8M-8G-TF-VP,Lok 8mm,"G1/2"" вращ.",138 бар
,VBA-ARF-10M-8G-TF-VP,Lok 10mm,"G1/2"" вращ.",138 бар
,VBA-ARF-12M-8G-TF-VP,Lok 12mm,"G1/2"" вращ.",138 бар
,VBA-ARF-14M-8G-TF-VP,Lok 14mm,"G1/2"" вращ.",138 бар
,VBA-A-6M-TF,под обжим 6мм,под обжим 6мм,138 бар
,VBA-A-8M-TF,под обжим 8мм,под обжим 8мм,138 бар
,VBA-A-10M-TF,под обжим 10мм,под обжим 10мм,138 бар
,VBA-A-12M-TF,под обжим 12мм,под обжим 12мм,138 бар
,VBA-A-14M-TF,под обжим 14мм,под обжим 14мм,138 бар
,VBA-F-4N-TF,NPT 1/4 внутр.,NPT 1/4 внутр,138 бар
,VBA-F-8N-TF,NPT 1/2 внутр.,NPT 1/2 внутр.,138 бар
,VBA-F-4G-TF,"G 1/4"" внутр.","G 1/4"" внутр.",138 бар
,VBA-F-8G-TF,"G 1/2"" внутр.","G 1/2"" внутр.",138 бар
,VBA-FRF-8G-TF-VP,"G1/2"" внутр.","G1/2"" внутр. вращ.",138 бар
,VBA-FRF-M20-TF-VP,M20х1.5 внутр.,M20х1.5 внутр. вращ.,138 бар
