#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Пневмопривод,Параметр:Заказной код:Степень полировки
,DV-HP-BW-4,"Приварной патрубок 1/4""",рукоятка (90°),B.A.
,DV-HP-BW-4-PC-H,"Приварной патрубок 1/4""",пневмопривод (нормально закрытый),с электрополировкой
