#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение
,VBXY-8-FN,8мм,"NPT 1/4"""
,VBXY-10-FN,10мм,"NPT 3/8"""
,VBXY-15-FN,15мм,"NPT 1/2"""
,VBXY-20-FN,20мм,"NPT 3/4"""
,VBXY-25-FN,25мм,"NPT 1"""
