#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,
,BVD-H-32M-DN25,Hy-Lok 32mm,25мм,315бар,-23°C,100°C,
,BVD-H-38M-DN25,Hy-Lok 38mm,25мм,315бар,-23°C,100°C,
,BVD-H-38M-DN32,Hy-Lok 38mm,32мм,315бар,-23°C,100°C,
,BVD-H-38M-DN32-PK,Hy-Lok 38mm,32мм,315бар,-23°C,100°C,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
