#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Ду,Параметр:Заказной код:Материал седла
,VBZY-8-FN-AEB-220AC,140 бар,8мм,PTFE
,VBZY-10-FN-AEB-220AC,140 бар,10мм,PTFE
,VBZY-15-FN-AEB-220AC,140 бар,15мм,PTFE
,VBZY-20-FN-AEB-220AC,140 бар,20мм,PTFE
,VBZY-25-FN-AEB-220AC,140 бар,25мм,PTFE
,VBZY-32-FN-AEB-220AC,103 бара,32мм,PTFE
,VBZY-40-FN-AEB-220AC,103 бара,40мм,PTFE
,VBZY-50-FN-AEB-220AC,103 бара,50мм,PTFE
,VBZY-65-FN-AEB-220AC,70 бар,65мм,PTFE
,VBZY-80-FN-AEB-220AC,70 бар,80мм,PTFE
,VBZY-100-FN-AEB-220AC,70 бар,100мм,PTFE
,VBZY-8-FG-AEB-220AC,140 бар,8мм,PTFE
,VBZY-10-FG-AEB-220AC,140 бар,10мм,PTFE
,VBZY-15-FG-AEB-220AC,140 бар,15мм,PTFE
,VBZY-20-FG-AEB-220AC,140 бар,20мм,PTFE
,VBZY-25-FG-AEB-220AC,140 бар,25мм,PTFE
,VBZY-32-FG-AEB-220AC,103 бара,32мм,PTFE
,VBZY-40-FG-AEB-220AC,103 бара,40мм,PTFE
,VBZY-50-FG-AEB-220AC,103 бара,50мм,PTFE
,VBZY-65-FG-AEB-220AC,70 бар,65мм,PTFE
,VBZY-80-FG-AEB-220AC,70 бар,80мм,PTFE
,VBZY-100-FG-AEB-220AC,70 бар,100мм,PTFE
,VBZY-8-WS-AEB-220AC,140 бар,8мм,PTFE
,VBZY-10-WS-AEB-220AC,140 бар,10мм,PTFE
,VBZY-15-WS-AEB-220AC,140 бар,15мм,PTFE
,VBZY-20-WS-AEB-220AC,140 бар,20мм,PTFE
,VBZY-25-WS-AEB-220AC,140 бар,25мм,PTFE
,VBZY-32-WS-AEB-220AC,103 бара,32мм,PTFE
,VBZY-40-WS-AEB-220AC,103 бара,40мм,PTFE
,VBZY-50-WS-AEB-220AC,103 бара,50мм,PTFE
,VBZY-65-WS-AEB-220AC,70 бар,65мм,PTFE
,VBZY-80-WS-AEB-220AC,70 бар,80мм,PTFE
,VBZY-100-WS-AEB-220AC,70 бар,100мм,PTFE
,VBZY-8-WP-AEB-220AC,140 бар,8мм,PTFE
,VBZY-10-WP-AEB-220AC,140 бар,10мм,PTFE
,VBZY-15-WP-AEB-220AC,140 бар,15мм,PTFE
,VBZY-20-WP-AEB-220AC,140 бар,20мм,PTFE
,VBZY-25-WP-AEB-220AC,140 бар,25мм,PTFE
,VBZY-32-WP-AEB-220AC,103 бара,32мм,PTFE
,VBZY-50-WP-AEB-220AC,103 бара,50мм,PTFE
,VBZY-80-WP-AEB-220AC,70 бар,80мм,PTFE
,VBZY-100-WP-AEB-220AC,70 бар,100мм,PTFE
,VBZU-8-FN-AEB-220AC,140 бар,8мм,PTFE
,VBZU-10-FN-AEB-220AC,140 бар,10мм,PTFE
,VBZU-15-FN-AEB-220AC,140 бар,15мм,PTFE
,VBZU-20-FN-AEB-220AC,140 бар,20мм,PTFE
,VBZU-20-FG-AEB-220AC,140 бар,20мм,PTFE
,VBZU-25-FG-AEB-220AC,140 бар,25мм,PTFE
,VBZU-32-FG-AEB-220AC,140 бар,32мм,PTFE
,VBZU-40-FG-AEB-220AC,140 бар,40мм,PTFE
,VBZU-50-FG-AEB-220AC,140 бар,50мм,PTFE
