#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Пневмопривод,Параметр:Заказной код:Степень полировки
,DV-HP-H-4,"Hy-Lok 1/4""",рукоятка (90°),B.A.
,DV-HP-H-4-H,"Hy-Lok 1/4""",рукоятка (90°),с электрополировкой
,DV-HP-H-4-PC,"Hy-Lok 1/4""",пневмопривод (нормально закрытый),B.A.
,DV-HP-H-4-PO,"Hy-Lok 1/4""",пневмопривод (нормально открытый),B.A.
,DV-HP-H-6M-H,Hy-Lok 6мм,рукоятка (90°),с электрополировкой
