#,Заказной код,Размер,Материал,Параметр:Материал:Материал,Параметр:Размер:Подсоединение,Параметр:Размер:Ду,Параметр:Размер:Cv,Параметр:Размер:Давление,Параметр:Размер:Температура
,BV,H-3M,-,S316,Hy-Lok 3мм,Ø 5мм,0.84,69 бар,до 232°C
,,H-6M,BRAS,BRAS,Hy-Lok 6мм,Ø 5мм,0.84,69 бар,до 232°C
,,H-8M,,,Hy-Lok 8мм,Ø 5мм,0.84,69 бар,до 232°C
,,H-10M,,,Hy-Lok 10мм,"Ø 7,5мм",4.2,69 бар,до 232°C
,,H-12M,,,Hy-Lok 12мм,Ø 9мм,"4.2",69 бар,до 232°C
,,H-14M,,,Hy-Lok 14мм,Ø 9мм,4.2,69 бар,до 232°C
,,H-16M,,,Hy-Lok 16мм,"Ø 12,5мм",8,69 бар,до 232°C
,,H-18M,,,Hy-Lok 18мм,"Ø 12,5мм",8,69 бар,до 232°C
,,H-20M,,,Hy-Lok 20мм,"Ø 12,5мм",8,69 бар,до 232°C
,,H-25M,,,Hy-Lok 25мм,Ø 16мм,25,69 бар,до 232°C
,,H-2T,,,"Hy-Lok 1/8""",-,-,69 бар,до 232°C
,,H-4T,,,"Hy-Lok 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,H-6T,,,"Hy-Lok 3/8""","Ø 7,5мм",4.2,69 бар,до 232°C
,,H-8T,,,"Hy-Lok 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,H-10T,,,"Hy-Lok 5/8""","Ø 12,5мм",8,69 бар,до 232°C
,,H-12T,,,"Hy-Lok 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,H-16T,,,"Hy-Lok 1""",Ø 16мм,25,69 бар,до 232°C
,,H-3M-BRAS,,,Hy-Lok 3мм,-,-,69 бар,до 232°C
,,H-6M-BRAS,,,Hy-Lok 6мм,Ø 5мм,0.84,69 бар,до 232°C
,,H-8M-BRAS,,,Hy-Lok 8мм,Ø 5мм,0.84,69 бар,до 232°C
,,H-10M-BRAS,,,Hy-Lok 10мм,"Ø 7,5мм",4.2,69 бар,до 232°C
,,H-12M-BRAS,,,Hy-Lok 12мм,Ø 9мм,4.2,69 бар,до 232°C
,,H-14M-BRAS,,,Hy-Lok 14мм,Ø 9мм,4.2,69 бар,до 232°C
