#,Заказной код,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Дополнительные опции,Параметр:Заказной код:К процессу,Параметр:Заказной код:К прибору,Параметр:Заказной код:Дренаж
,M3V1FGV-8N,Grafoil,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4"""
,M3V1FTV8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4"""
,M3V2DMTV,PTFE,нет,фланец,фланец,без дренажа
,M3V2FTV,PTFE,нет,фланец,фланец,"NPT 1/4"""
,M3VDMGV8N-VP,Grafoil,нет,"NPT 1/2"" внутр.",фланец,со сбросными клапанами
,M3VDMTV8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,без дренажа
,M3VDMTV8N-SOG,PTFE,для кислых сред,"NPT 1/2"" внутр.",фланец,без дренажа
,M3VDMTV8N-VP,PTFE,нет,"NPT 1/2"" внутр.",фланец,со сбросными клапанами
,M3VDMTV8N-VP-SOG,PTFE,для кислых сред,"NPT 1/2"" внутр.",фланец,со сбросными клапанами
,M3VTB8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4"""
,M3VTB8N-OS,PTFE,для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4"""
,M3VTV8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4"""
,M3VTV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4"""
