#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура,Параметр:Заказной код:Температура максимальная
,VB2SVAH-6M,Hy-Lok 6mm,"1,2","4,8",207 бар,-54°C,149°C
,VB2SVAH-8M,Hy-Lok 8mm,"1,2","4,8",207 бар,-54°C,149°C
,VB4SVAH-12M,Hy-Lok 12mm,12,"10,3",103 бар,-54°C,149°C
,VB4SVAH-12T,"Hy-Lok 3/4""",12,"10,3",103 бар,-54°C,149°C
,VB4SVAH-8T,"Hy-Lok 1/2""",12,"10,3",103 бар,-54°C,149°C
