#,Заказной код,Параметр:Заказной код:Стекло,Параметр:Заказной код:Винт,Параметр:Заказной код:Подсоединение
,FW-2-T-S-T-A-1-1,Два,ABS,"NPT 1/4"""
,FW-2-T-S-T-A-2-1,Два,ABS,"NPT 3/8"""
,FW-2-T-S-T-A-3-1,Два,ABS,"NPT 1/2"""
,FW-2-T-S-T-A-4-1,Два,ABS,"NPT 3/4"""
,FW-2-T-S-T-A-5-1,Два,ABS,"NPT 1"""
,FW-2-T-S-T-A-6-1,Два,ABS,"NPT 1-1/4"""
,FW-2-T-S-T-A-7-1,Два,ABS,"NPT 1-1/2"""
,FW-2-T-S-T-A-8-1,Два,ABS,"NPT 2"""
,FW-2-T-S-T-B-1-1,Два,PVDF,"NPT 1/4"""
,FW-2-T-S-T-B-2-1,Два,PVDF,"NPT 3/8"""
,FW-2-T-S-T-B-3-1,Два,PVDF,"NPT 1/2"""
,FW-2-T-S-T-B-4-1,Два,PVDF,"NPT 3/4"""
,FW-2-T-S-T-B-5-1,Два,PVDF,"NPT 1"""
,FW-2-T-S-T-B-6-1,Два,PVDF,"NPT 1-1/4"""
,FW-2-T-S-T-B-7-1,Два,PVDF,"NPT 1-1/2"""
,FW-2-T-S-T-B-8-1,Два,PVDF,"NPT 2"""
