#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Блок питания,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление
,TLFC-13-A-1-0-2-B-1-2,0-30 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-13-T-1-0-1-A-1-1,0-30 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-13-T-1-0-1-A-1-2,0-30 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-13-T-1-0-1-B-1-1,0-30 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-13-T-1-0-1-B-1-2,0-30 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-13-T-1-0-2-A-1-1,0-30 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-13-T-1-0-2-A-1-2,0-30 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-13-T-1-0-2-B-1-1,0-30 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-13-T-1-0-2-B-1-2,0-30 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-14-A-1-0-1-A-1-1,0-35 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-14-A-1-0-1-A-1-2,0-35 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-14-A-1-0-1-B-1-1,0-35 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-14-A-1-0-1-B-1-2,0-35 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-14-A-1-0-2-A-1-1,0-35 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-14-A-1-0-2-A-1-2,0-35 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-14-A-1-0-2-B-1-1,0-35 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-14-A-1-0-2-B-1-2,0-35 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-14-T-1-0-1-A-1-1,0-35 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-14-T-1-0-1-A-1-2,0-35 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-14-T-1-0-1-B-1-1,0-35 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-14-T-1-0-1-B-1-2,0-35 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-14-T-1-0-2-A-1-1,0-35 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-14-T-1-0-2-A-1-2,0-35 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-14-T-1-0-2-B-1-1,0-35 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-14-T-1-0-2-B-1-2,0-35 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-15-A-1-0-1-A-1-1,0-40 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-15-A-1-0-1-A-1-2,0-40 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-15-A-1-0-1-B-1-1,0-40 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-15-A-1-0-1-B-1-2,0-40 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-15-A-1-0-2-A-1-1,0-40 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-15-A-1-0-2-A-1-2,0-40 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-15-A-1-0-2-B-1-1,0-40 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-15-A-1-0-2-B-1-2,0-40 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-15-T-1-0-1-A-1-1,0-40 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-15-T-1-0-1-A-1-2,0-40 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-15-T-1-0-1-B-1-1,0-40 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-15-T-1-0-1-B-1-2,0-40 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-15-T-1-0-2-A-1-1,0-40 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-15-T-1-0-2-A-1-2,0-40 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-15-T-1-0-2-B-1-1,0-40 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-15-T-1-0-2-B-1-2,0-40 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-16-A-1-0-1-A-1-1,0-45 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-16-A-1-0-1-A-1-2,0-45 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-16-A-1-0-1-B-1-1,0-45 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-16-A-1-0-1-B-1-2,0-45 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-16-A-1-0-2-A-1-1,0-45 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-16-A-1-0-2-A-1-2,0-45 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-16-A-1-0-2-B-1-1,0-45 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-16-A-1-0-2-B-1-2,0-45 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-16-T-1-0-1-A-1-1,0-45 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-16-T-1-0-1-A-1-2,0-45 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-16-T-1-0-1-B-1-1,0-45 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-16-T-1-0-1-B-1-2,0-45 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-16-T-1-0-2-A-1-1,0-45 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-16-T-1-0-2-A-1-2,0-45 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-16-T-1-0-2-B-1-1,0-45 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-16-T-1-0-2-B-1-2,0-45 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-17-A-1-0-1-A-1-1,0-50 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-17-A-1-0-1-A-1-2,0-50 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-17-A-1-0-1-B-1-1,0-50 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-17-A-1-0-1-B-1-2,0-50 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-17-A-1-0-2-A-1-1,0-50 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-17-A-1-0-2-A-1-2,0-50 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-17-A-1-0-2-B-1-1,0-50 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-17-A-1-0-2-B-1-2,0-50 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-17-T-1-0-1-A-1-1,0-50 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-17-T-1-0-1-A-1-2,0-50 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-17-T-1-0-1-B-1-1,0-50 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-17-T-1-0-1-B-1-2,0-50 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-17-T-1-0-2-A-1-1,0-50 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-17-T-1-0-2-A-1-2,0-50 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-17-T-1-0-2-B-1-1,0-50 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-17-T-1-0-2-B-1-2,0-50 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-00-A-1-W-1-A-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-00-A-1-W-1-A-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-00-A-1-W-1-B-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-00-A-1-W-1-B-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-00-A-1-W-2-A-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-00-A-1-W-2-A-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-00-A-1-W-2-B-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-00-A-1-W-2-B-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-00-A-1-B-1-A-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-00-A-1-B-1-A-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-00-A-1-B-1-B-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-00-A-1-B-1-B-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-00-A-1-B-2-A-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-00-A-1-B-2-A-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-00-A-1-B-2-B-1-1,0-10 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-00-A-1-B-2-B-1-2,0-10 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-00-T-1-W-1-A-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-00-T-1-W-1-A-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-00-T-1-W-1-B-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-00-T-1-W-1-B-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-00-T-1-W-2-A-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-00-T-1-W-2-A-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-00-T-1-W-2-B-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-00-T-1-W-2-B-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-00-T-1-B-1-A-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-00-T-1-B-1-A-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-00-T-1-B-1-B-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-00-T-1-B-1-B-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-00-T-1-B-2-A-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-00-T-1-B-2-A-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-00-T-1-B-2-B-1-1,0-10 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-00-T-1-B-2-B-1-2,0-10 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-01-A-1-W-1-A-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-01-A-1-W-1-A-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-01-A-1-W-1-B-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-01-A-1-W-1-B-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-01-A-1-W-2-A-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-01-A-1-W-2-A-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-01-A-1-W-2-B-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-01-A-1-W-2-B-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-01-A-1-B-1-A-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-01-A-1-B-1-A-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-01-A-1-B-1-B-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-01-A-1-B-1-B-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-01-A-1-B-2-A-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-01-A-1-B-2-A-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-01-A-1-B-2-B-1-1,0-20 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-01-A-1-B-2-B-1-2,0-20 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-01-T-1-W-1-A-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-01-T-1-W-1-A-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-01-T-1-W-1-B-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-01-T-1-W-1-B-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-01-T-1-W-2-A-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-01-T-1-W-2-A-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-01-T-1-W-2-B-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-01-T-1-W-2-B-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-01-T-1-B-1-A-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-01-T-1-B-1-A-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-01-T-1-B-1-B-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-01-T-1-B-1-B-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-01-T-1-B-2-A-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-01-T-1-B-2-A-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-01-T-1-B-2-B-1-1,0-20 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-01-T-1-B-2-B-1-2,0-20 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-02-A-1-W-1-A-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-02-A-1-W-1-A-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-02-A-1-W-1-B-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-02-A-1-W-1-B-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-02-A-1-W-2-A-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-02-A-1-W-2-A-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-02-A-1-W-2-B-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-02-A-1-W-2-B-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-02-A-1-B-1-A-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-02-A-1-B-1-A-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-02-A-1-B-1-B-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-02-A-1-B-1-B-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-02-A-1-B-2-A-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-02-A-1-B-2-A-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-02-A-1-B-2-B-1-1,0-50 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-02-A-1-B-2-B-1-2,0-50 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-02-T-1-W-1-A-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-02-T-1-W-1-A-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-02-T-1-W-1-B-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-02-T-1-W-1-B-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-02-T-1-W-2-A-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-02-T-1-W-2-A-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-02-T-1-W-2-B-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-02-T-1-W-2-B-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-02-T-1-B-1-A-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-02-T-1-B-1-A-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-02-T-1-B-1-B-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-02-T-1-B-1-B-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-02-T-1-B-2-A-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-02-T-1-B-2-A-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-02-T-1-B-2-B-1-1,0-50 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-02-T-1-B-2-B-1-2,0-50 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-03-A-1-W-1-A-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-03-A-1-W-1-A-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-03-A-1-W-1-B-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-03-A-1-W-1-B-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-03-A-1-W-2-A-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-03-A-1-W-2-A-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-03-A-1-W-2-B-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-03-A-1-W-2-B-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-03-A-1-B-1-A-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-03-A-1-B-1-A-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-03-A-1-B-1-B-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-03-A-1-B-1-B-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-03-A-1-B-2-A-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-03-A-1-B-2-A-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-03-A-1-B-2-B-1-1,0-100 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-03-A-1-B-2-B-1-2,0-100 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-03-T-1-W-1-A-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-03-T-1-W-1-A-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-03-T-1-W-1-B-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-03-T-1-W-1-B-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-03-T-1-W-2-A-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-03-T-1-W-2-A-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-03-T-1-W-2-B-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-03-T-1-W-2-B-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-03-T-1-B-1-A-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-03-T-1-B-1-A-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-03-T-1-B-1-B-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-03-T-1-B-1-B-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-03-T-1-B-2-A-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-03-T-1-B-2-A-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-03-T-1-B-2-B-1-1,0-100 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-03-T-1-B-2-B-1-2,0-100 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-04-A-1-W-1-A-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-04-A-1-W-1-A-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-04-A-1-W-1-B-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-04-A-1-W-1-B-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-04-A-1-W-2-A-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-04-A-1-W-2-A-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-04-A-1-W-2-B-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-04-A-1-W-2-B-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-04-A-1-B-1-A-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-04-A-1-B-1-A-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-04-A-1-B-1-B-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-04-A-1-B-1-B-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
