#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Поплавок
,RM-3~30-CCM-Air-BP-GA,3-30 см3/мин,Черное Стекло-POL
,RM-12~150-CCM-Air-BP-GB,12-120 см3/мин,Черное стекло-POL
,RM-6~60-CCM-Air-SS-GA,6-60 см3/мин,SS316
,RM-40~400-CCM-Air-SS-GB,40-400 см3/мин,SS316
,RM-90~900-CCM-Air-SS-GC,90-900 см3/мин,SS316
,RM-140~1400-CCM-Air-SS-GD,140-1400 см3/мин,SS316
,"RM-0,5~5-LM-Air-SS-G3","0,5-5 л/мин",SS316
,"RM-0,6~6-LM-Air-SS-G4","0,6-6 л/мин",SS316
,"RM-2,5~25-LM-Air-SS-G7","2,5-25 л/мин",SS316
,RM-20~200-CCM-Air-RU-GB,20-200 см3/мин,Rubysaph
,RM-50~500-CCM-Air-RU-GC,50-500 см3/мин,Rubysaph
,RM-70~700-CCM-Air-RU-GD,70-700 см3/мин,Rubysaph
,RM-12~120-CCM-Air-TC-GA,12-120 см3/мин,TC (Карбид вольфрама)
,RM-60~600-CCM-Air-TC-GB,60-600 см3/мин,TC (Карбид вольфрама)
,RM-120~1200-CCM-Air-TC-GC,120-1200 см3/мин,TC (Карбид вольфрама)
,RM-180~1800-CCM-Air-TC-GD,180-1800 см3/мин,TC (Карбид вольфрама)
,RM-200~2000-CCM-Air-Tan-GD,200-2000 см3/мин,Танталум
,"RM-0,1~1-LM-Air-P-G1","0,1-1 л/мин","POM, Пластик"
,"RM-0,2~2-LM-Air-P-G4","0,2-2 л/мин","POM, Пластик"
,"RM-0,8~8-LM-Air-P-G7","0,8-8 л/мин","POM, Пластик"
,"RM-0,15~1.5-LM-Air-G-G1","0,15-1,5 л/мин",Стекло
,"RM-0,25~2.5-LM-Air-G-G3","0,25-2,5 л/мин",Стекло
,"RM-0,3~3-LM-Air-G-G4","0,3-3 л/мин",Стекло
,"RM-1,2-12-LM-Air-G-G7","1,2-12 л/мин",Стекло
