#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Концевые выключатели
,MDS-B(6)-PC-S-A-0-BT,"0,2-2 л/мин","NPT 3/8"" внутр.",без выкл.
,MDS-B(7)-PC-S-A-0-BT,"0,3-3 л/мин","NPT 3/8"" внутр.",без выкл.
,MDS-B(8)-PC-S-A-0-BT,"0,5-5 л/мин","NPT 3/8"" внутр.",без выкл.
,MDS-B(9)-PC-S-A-0-BT,"0,8-8 л/мин","NPT 3/8"" внутр.",без выкл.
,MDS-C(10)-PC-S-A-0-BT,20-200 л/час,"NPT 3/8"" внутр.",без выкл.
,MDS-C(11)-PC-S-A-0-BT,30-300 л/час,"NPT 3/8"" внутр.",без выкл.
,MDS-C(12)-PC-S-A-0-BT,50-500 л/час,"NPT 3/8"" внутр.",без выкл.
,MDS-B(6)-PC-S-A-L-BT,"0,2-2 л/мин","NPT 3/8"" внутр.",слева
,MDS-B(7)-PC-S-A-L-BT,"0,3-3 л/мин","NPT 3/8"" внутр.",слева
,MDS-B(8)-PC-S-A-L-BT,"0,5-5 л/мин","NPT 3/8"" внутр.",слева
,MDS-B(9)-PC-S-A-L-BT,"0,8-8 л/мин","NPT 3/8"" внутр.",слева
,MDS-C(10)-PC-S-A-L-BT,20-200 л/час,"NPT 3/8"" внутр.",слева
,MDS-C(11)-PC-S-A-L-BT,30-300 л/час,"NPT 3/8"" внутр.",слева
,MDS-C(12)-PC-S-A-L-BT,50-500 л/час,"NPT 3/8"" внутр.",слева
,MDS-B(6)-PC-S-A-R-BT,"0,2-2 л/мин","NPT 3/8"" внутр.",справа
,MDS-B(7)-PC-S-A-R-BT,"0,3-3 л/мин","NPT 3/8"" внутр.",справа
,MDS-B(8)-PC-S-A-R-BT,"0,5-5 л/мин","NPT 3/8"" внутр.",справа
,MDS-B(9)-PC-S-A-R-BT,"0,8-8 л/мин","NPT 3/8"" внутр.",справа
,MDS-C(10)-PC-S-A-R-BT,20-200 л/час,"NPT 3/8"" внутр.",справа
,MDS-C(11)-PC-S-A-R-BT,30-300 л/час,"NPT 3/8"" внутр.",справа
,MDS-C(12)-PC-S-A-R-BT,50-500 л/час,"NPT 3/8"" внутр.",справа
