#,Заказной код,Параметр:Заказной код:Материал,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Уплотнение
,SGG061203,Нерж. сталь,17 бар,"BSP 3/4""",Viton
,SGG061351,Углеродистая сталь,17 бар,"BSP 3/4""",Nitrile
,SGG061353,Углеродистая сталь,17 бар,"BSP 3/4""",Viton
,SGG081353,Углеродистая сталь,17 бар,"BSP 1""",Viton
,SGG081203,Нерж. сталь,17 бар,"BSP 1""",Viton
,SGN061203,Нерж. сталь,17 бар,"NPT 3/4""",Viton
,SGN061351,Углеродистая сталь,17 бар,"NPT 3/4""",Nitrile
,SGN061353,Углеродистая сталь,17 бар,"NPT 3/4""",Viton
,SGN081353,Углеродистая сталь,17 бар,"NPT 1""",Viton
,SGN081203,Нерж. сталь,17 бар,"NPT 1""",Viton
